tableA_id,tableA_Song_Name,tableA_Artist_Name,tableA_Album_Name,tableA_Genre,tableA_Price,tableA_CopyRight,tableA_Time,tableA_Released,tableB_id,tableB_Song_Name,tableB_Artist_Name,tableB_Album_Name,tableB_Genre,tableB_Price,tableB_CopyRight,tableB_Time,tableB_Released,label
5643,Jack 's Obsession,Danny Elfman & Cast - The Nightmare Before Christmas,Nightmare Before Christmas ( Special Edition ),"Soundtrack , Music",$ 1.29,‰ ãÑ 2006 Walt Disney Records,2:46,24-Oct-06,7393,House In The Hills ( feat . Curren $ y ) [ Clean ],Wiz Khalifa,Blacc Hollywood [ Clean ],Rap & Hip-Hop,$ 0.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:52,"August 19 , 2014",0
3949,Whatcha Say ( Klubjumpers Remix Radio ),Jason Derulo,Reloaded,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",$ 1.29,2011 This Compilation P2011 Warner Bros. . Records Inc.,4:02,16-Dec-11,30621,Lady Luck,Mark Knight,Mark Ronson and More,"Country , Roots Rock , Rock",$ 0.99,2015 Mark Knight,4:18,nan,0
6457,Sober ( Main Version ),P!NK,Funhouse,"Pop , Music , R&B / Soul , Dance , Pop/Rock",$ 1.29,‰ ãÑ LaFace Recording LLC,4:11,28-Oct-08,45549,Puddin ' Head Jones,Various artists,"The Big Broadcast , Volume 8 : Jazz and Popular Music of the 1920s and 1930s","Swing Jazz , Jazz Fusion , Smooth Jazz , Jazz , Vocal Jazz , Traditional Jazz & Ragtime",$ 0.99,( c ) 2012 Rivermont Records,2:48,"April 30 , 2013",0
5403,Scream It Out,Ellie Goulding,Delirium,"Pop , Music",Album Only,‰ ãÑ 2015 Polydor Ltd. ( UK ),3:09,nan,40676,Te Vi,Matisyahu,Shakira and More,"Alternative Rock , International , Caribbean & Cuba , Reggae",$ 1.29,2010 Matisyahu,3:29,nan,0
2534,Outer Space / Carry On,5 Seconds of Summer,Sounds Good Feels Good,"Pop , Music , Rock , Teen Pop , Alternative , Punk",Album Only,2015 Capitol Records Ltd.,6:38,nan,7006,Blow Remix,Beyonce,BeyoncÌ © [ Platinum Edition ] [ Explicit ] [ + digital booklet ],Pop,$ 1.29,( p ) 2012 Hospital Records,5:09,nan,0
127,Wrapped Up ( Live ),Olly Murs,Radio Disney Music Awards,"Pop , Music",Album Only,2015 Walt Disney Records,3:01,21-Apr-15,6892,Jungle-Jodler,ZurbrÌ_gg,Best of Yodel 99-09,International,$ 0.99,2009 GAMSrecords,4:02,"March 27 , 2009",0
6224,Take Me As I Am,Sugarland,Love On the Inside ( Deluxe Fan Edition ),"Country , Music , Rock , Contemporary Country , Southern Rock , Contemporary Bluegrass",$ 1.29,"‰ ãÑ 2008 Mercury Records , a Division of UMG Recordings , Inc.",4:02,22-Jul-08,50739,Title,Meghan Trainor,Title ( Deluxe ),Pop,$ 1.29,"2011 What A Music Ltd , licence exclusive Parlophone Music France",2:54,"January 9 , 2015",0
741,Booklet - Save Rock and Roll,Fall Out Boy,Save Rock and Roll,"Alternative , Music , Punk , Rock , Adult Alternative",Album Only,2013 The Island Def Jam Music Group,--,16-Apr-13,29616,Quecreek,Buddy & Julie Miller,Love Snuck Up,Country,$ 1.29,"( C ) 2008 Mercury Records , a Division of UMG Recordings , Inc.",4:14,nan,0
186,Music Feels Better ( Bonus Track ),Selena Gomez,Stars Dance,"Pop , Music , Dance , House , Electronic , Rock , Teen Pop",$ 1.29,"2013 Hollywood Records , Inc.",3:10,23-Jul-13,14736,I Still Ca n't Stop,Crookers,EDM for Cardio [ Explicit ],Dance & Electronic,$ 1.29,2008 Mad Decent,4:16,nan,0
676,Saturday ( Live ),Fall Out Boy,Live In Phoenix,"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.99,2008 The Island Def Jam Music Group,3:53,1-Apr-08,43388,Are You What You Want to Be ?,Foster The People,Supermodel,"Alternative Rock , Indie & Lo-Fi",$ 1.29,"( C ) 2006 Hollywood Records , Inc.",4:30,"March 14 , 2014",0
1627,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,22997,Colours,Calvin Harris,I Created Disco,"Dance & Electronic , Pop , House",$ 0.99,2002 Defected Records Ltd,4:01,"February 22 , 2012",0
1282,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,8223,Arms Around A Memory,Hilary Duff,Breathe In . Breathe Out .,Pop,$ 1.29,2014 Maddie Wilson & The Piano Gal,3:16,"June 12 , 2015",0
6704,The Best of Both Worlds : The 2009 Movie Mix,Hannah Montana,Hannah Montana : The Movie ( Original Motion Picture Soundtrack ),"Soundtrack , Music , Country , Contemporary Country , Pop , Teen Pop , Honky Tonk , Rock",$ 1.29,‰ ãÑ 2009 Walt Disney Records,3:07,24-Mar-09,9924,"Celebrate ( feat . The Starfuckerz , Chelle )",Honorebel,"Celebrate ( feat . The Starfuckerz , Chelle )",Dance & Electronic,$ 1.29,Miniaturesrec,7:10,"November 24 , 2014",0
5160,The Ride,Drake,Take Care ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2011 Cash Money Records Inc.,5:51,15-Nov-11,10624,Pa ' Que Me Sirve La Vida,Selena,Classic Series 1,"International , Latin Music",$ 0.89,2009 Q-Zone Records,2:52,"October 25 , 2007",0
1655,Son of Sam ( Bonus Track ),Shinedown,The Sound of Madness ( Deluxe Version ),"Rock , Music , Metal , Alternative , Grunge , Hard Rock",Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,3:37,23-Jun-08,49479,Son Of Sam ( Bonus Track ),Shinedown,The Sound Of Madness [ Explicit ] [ Deluxe ],Rock,$ 0.99,2005 Z Records,3:37,"June 24 , 2008",1
3023,Raise Your Weapon,deadmau5,Ultra Weekend 7,"Dance , Music , Electronic",$ 0.99,"2011 Ultra Records , Inc.",7:18,26-Jul-11,47215,High Wall,The Wailers,The Fabulous Wailers,Rock,$ 0.99,2009 Ace Records,2:41,"January 2 , 2013",0
3912,X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,1-Jun-15,24316,White Lies ( feat . Jenni Potts ),ODESZA,In Return,"Alternative Rock , Dance & Electronic",$ 0.99,2014 Foreign Family Collective under exclusive license to Counter Records,4:40,"September 9 , 2014",0
4890,Sorry for Party Rocking,LMFAO,Sorry for Party Rocking ( Deluxe Version ),"Pop , Music , R&B / Soul,Electronic,Dance,Rock,Hip-Hop / Rap , Rap",$ 1.29,"‰ ãÑ 2011 Foo & Blu , LLC under exclusive License to Interscope Records",3:23,21-Jun-11,50969,Lone White Wolf,Crookers,Tons of Friends,Dance & Electronic,$ 1.29,2010 - Southern Fried Records,3:24,"March 8 , 2010",0
3570,"Why You Up In Here ( feat . Ludacris , Git Fresh & Gucci Mane )",Flo Rida,"Only One Flo , Pt. 1","Hip-Hop/Rap , Music , Rap , Dirty South",$ 1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:36,24-Nov-10,10299,Tangerine,Worldwide Groove Corporation,Chillodesiac Lounge : Tangerine [ Partial Release ],"Electronica , Dance & Electronic,Trip-Hop",$ 0.99,( C ) 2005 Fabulation Records,5:00,"October 25 , 2005",0
5884,Put You In a Song,Keith Urban,Get Closer ( Deluxe Version ),"Country , Music , Honky Tonk , Pop , Pop/Rock , Contemporary Country , Rock",$ 1.29,"‰ ãÑ 2010 Hit Red Records under exclusive license to Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37",3:40,22-Feb-11,17237,Ana 's Theme ( From The Fifty Shades Of Grey '' Score ) '',Danny Elfman,Fifty Shades Of Grey ( Original Motion Picture Score ),Soundtracks,$ 1.29,( C ) 2015 Universal Studios and Republic Records,1:23,"February 17 , 2015",0
6716,Rules,Jayme Dee,The Hunger Games ( Songs from District 12 and Beyond ),"Soundtrack , Music",$ 1.29,"‰ ãÑ 2012 Universal Republic Records , a division of UMG Recordings , Inc.",3:27,20-Mar-12,1864,She,Ed Sheeran,5,Pop,$ 1.29,Dub Police Records,4:04,"June 23 , 2014",0
51,Video Games ( Omid 16B Instrumental Reprise ),Lana Del Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13,47160,To All the Girls I 've Loved Before,Willie Nelson,The Essential Willie Nelson,Country,$ 0.99,2001 Sub Pop Records,3:32,"April 1 , 2003",0
1621,Fake ( Demo ),Shinedown,Us and Them ( Deluxe Version ),"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:05,4-Oct-05,30721,Only 1 U [ Explicit ],M.I.A.,Matangi ( Amazon Exclusive Version ) [ Explicit ],"Electronica , Dance & Electronic",$ 1.29,( C ) 2013 Maya Arulpragasam under exclusive license to Interscope Records,3:12,"November 5 , 2013",0
2462,It 's Never Easy to Say Goodbye,Kenny Chesney,Me and You,"Country , Music , Urban Cowboy , Contemporary Country",$ 0.99,1996 BMG Entertainment,4:44,1-Jan-90,49681,The Sun ( Klingande Remix ),Parov Stelar,The Sun ( Klingande Remix ) [ feat . Graham Candy ],"Electronica , Dance & Electronic , House",$ 1.29,Etage Noir Recordings,5:18,"June 12 , 2015",0
2479,I Ca n't Go There ( Acoustic Version ),Kenny Chesney,"No Shoes , No Shirt , No Problems","Country , Music , Contemporary Country , Urban Cowboy",$ 0.99,2002 BMG,3:45,2-Apr-02,33786,I Ca n't Go There ( Acoustic Version ),Kenny Chesney,"No Shoes , No Shirt , No Problems",Country,$ 0.99,Underground Avenue,3:45,"April 2 , 2002",1
4285,Some Type of Love,Charlie Puth,Nine Track Mind,"Pop , Music , Rock",$ 1.29,"2015 Artist Partner Group , Inc",3:05,nan,41034,Chest Boxing,Skream,Skreamizm Vol . 3,"Dance & Electronic , Dubstep",$ 0.89,2007 Ammunition,5:45,"April 30 , 2007",0
4397,Take My Drunk Ass Home ( Demo ),Luke Bryan,Spring Break ... Here to Party,"Country , Music , Contemporary Country",$ 1.29,"2013 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",3:22,1-Mar-13,41593,Devour ( Live Acoustic From Kansas City ),Shinedown,Somewhere In The Stratosphere,Rock,$ 1.29,( C ) 2005 MCA Nashville,3:53,"April 18 , 2011",0
228,Track 14,Omi,Me 4 U,"Pop/Rock , Music , Pop , Dance , R&B / Soul",Album Only,"2015 Ultra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment",3:41,nan,24921,Everyone Is Gay,A Great Big World,Is There Anybody Out There ?,Pop,$ 1.29,( c ) 2010 Goldenlane Records,2:10,"January 17 , 2014",0
2157,Voices,Ryan Adams,29,"Country , Music , Alternative Country , Rock , Adult Alternative , Americana",$ 1.29,"2014 UMG Recordings , Inc.",5:07,30-Sep-14,46922,Bugle Call Rag ( Album Version ),Benny Goodman,The Essential Benny Goodman,Jazz,$ 0.99,2012 Pinecastle Records,2:59,"May 22 , 2007",0
5585,Tulsa Time,Don Williams,NOW That 's What I Call ACM Awards 50 Years,"Country , Music",Album Only,"‰ ãÑ 2015 UMG Recordings , Inc. and Sony Music Entertainment",3:12,31-Mar-15,29230,Way More,Joe Budden,Long Weekend : EDM,Rap & Hip-Hop,$ 0.99,2010 Traumashop,5:56,nan,0
4791,Fine By Me,Andy Grammer,Andy Grammer,"Pop , Music , Rock , Adult Alternative",$ 1.29,‰ ãÑ 2011 S-Curve Records,2:52,14-Jun-11,26991,Carrot Blue,The Ghost Of A Saber Tooth Tiger,La Carotte Bleue,Alternative Rock,$ 0.99,2011 Chimera Music,4:30,"February 1 , 2011",0
598,I Ai n't Livin ' Long Like This,Chris Janson,Take It to the Bank - EP,"Country , Music",$ 1.29,2014 Sony Music Entertainment,4:13,24-Feb-14,43689,I Ai n't Livin ' Long Like This,Chris Janson,Take It to the Bank ( EP ),Country,$ 1.29,( C ) 2012 Cash Money Records Inc.,4:13,"February 24 , 2014",1
984,The Breath You Take,George Strait,"Now That 's What I Call Country , Vol . 4","Country , Music",Album Only,"2011 EMI MUSIC NORTH AMERICA / SONY MUSIC ENTERTAINMENT / UMG RECORDINGS , INC.",3:34,14-Jun-11,48667,Kitty Crankie,Spencer & Rains,"The Old Texas Fiddle , Vol . II","Country , Traditional Country , Miscellaneous , Folk , Traditional Folk",$ 0.99,2015 Spencer & Rains,3:14,"February 12 , 2015",0
1347,Beautiful Now ( feat . Jon Bellion ) [ Charlie Darker Remix ],Zedd,Beautiful Now ( feat . Jon Bellion ) [ Remixes ] - EP,"Dance , Music",$ 1.29,2015 Interscope Records,4:15,10-Jul-15,9148,Battle For New York,Brian Tyler,Call Of Duty : Modern Warfare 3,Soundtracks,$ 0.99,2011 Activision,6:25,"November 8 , 2011",0
5749,This Is How We Roll ( feat . Luke Bryan ),Florida Georgia Line,Here 's To the Good Times ... This Is How We Roll ( Deluxe Version ),"Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country",$ 1.29,"‰ ãÑ 2013 Big Machine Label Group , LLC",3:42,25-Nov-13,34160,Roam,I Am Oak,Nowhere or Tammensaari,Folk,$ 0.89,( c ) 2012 Snowstar Records,3:42,nan,0
6419,Best Song Ever,One Direction,Midnight Memories ( Deluxe Edition ),"Pop , Music , Rock , Teen Pop , Pop/Rock , Dance",$ 1.29,‰ ãÑ 2013 Simco Limited under exclusive license to Sony Music Entertainment UK Limited,3:20,25-Nov-13,36278,Lifted ( Mat Zo Remix - Tritonal EDC Intro Edit ),Tritonal,Piercing The Quiet : Remixed,"Electronica , Dance & Electronic , Trance",$ 0.99,Enhanced Music Limited,3:48,"September 3 , 2012",0
2392,Everybody Wants to Go to Heaven ( With the Wailers ),The Wailers & Kenny Chesney,Lucky Old Sun,"Country , Music , Contemporary Country , Honky Tonk",$ 1.99,"2008 Blue Chair Records , LLC and BMG Music",5:03,2008,53991,West Coast ( MK Remix ),Lana Del Rey,West Coast ( Remix EP ),Alternative Rock,$ 1.29,( C ) 2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,"July 13 , 2014",0
5458,In These Shoes ? ( Live ),Catherine Tate,A Concert for Kirsty MacColl ( Live ),"Rock , Music",$ 1.29,‰ ãÑ 2013 Union Square Music Ltd,4:38,25-Feb-13,49359,A&E,Goldfrapp,The Singles,Pop,$ 1.29,"( C ) 2012 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:18,"August 1 , 2013",0
2724,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,nan,4345,Another You ( Pretty Pink Radio Edit ),Armin van Buuren feat . Mr. Probz,Another You ( Pretty Pink Remix ),"Electronica , Dance & Electronic , House",$ 0.99,Armada Music B.V.,2:35,"June 19 , 2015",0
5818,The Christmas Song ( Chestnuts Roasting On an Open Fire ) [ feat . Usher ],Justin Bieber,Under the Mistletoe,"Holiday , Music , Christmas , Pop , Teen Pop , Rock",$ 1.29,‰ ãÑ 2011 The Island Def Jam Music Group,3:35,1-Nov-11,36786,No Qualms [ Explicit ],Wiley,Playtime Is Over [ Explicit ],"Dance & Electronic , Rap & Hip-Hop , House",$ 0.99,2007 Big Dada,2:34,"June 4 , 2007",0
6283,Make the Money,Macklemore & Ryan Lewis,The Heist ( Deluxe Edition ),"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ 1.29,"‰ ãÑ 2012 Macklemore , LLC .",3:44,1-Aug-12,9642,Je ne sais plus comment je m ` appelle,Martine St-Clair,Caribou,"Europe , International",$ 0.99,Vintage Music Inc.,3:47,"November 17 , 2014",0
2834,Outversion,Mark Ronson,Version,"Pop , Music , R&B / Soul,Soul,Dance,Rock,Jazz,Hip-Hop / Rap,Electronic,Hip-Hop , Pop/Rock , Adult Alternative",$ 0.99,2007 Mark Ronson under exclusive license to SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited except Track 9 ( P ) 2006 Rapster Records / BBE Records,1:50,10-Jul-07,53255,Outversion,Mark Ronson,Version [ Explicit ],Pop,$ 0.99,( c ) 2011 J'adore Records,1:50,"July 10 , 2007",1
2514,What I Like About You,5 Seconds of Summer,LIVESOS ( Bonus Track Version ),"Pop , Music",$ 1.29,2014 Capitol Records Ltd.,2:31,15-Dec-14,4554,What 's Your Favourite Nursery Rhyme ?,The Wiggles,Apples & Bananas,Children 's Music,$ 1.29,( C ) 2013 Interscope Records,2:42,"August 19 , 2014",0
5369,Somebody That I Used to Know ( feat . Kimbra ),Gotye,2013 GRAMMY Nominees,"Pop , Music",Album Only,"‰ ãÑ 2013 The Recording Academy . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records , LLC , 1750 North Vine Street , Hollywood , CA 90028 .",3:27,18-Jan-13,30883,Memories ( Featuring Kid Cudi ; F *** Me I 'm Famous ! Remix ),David Guetta,Memories,"Dance & Electronic , House",$ 1.29,( C ) 2013 The Island Def Jam Music Group,6:07,"March 26 , 2010",0
4888,Burning Up,Ne-Yo,R.E.D. ( Deluxe Edition ),"R&B / Soul , Music",$ 1.29,"‰ ãÑ 2012 Motown Records , a Division of UMG Recordings , Inc.",3:33,6-Nov-12,16880,Fever Dream,Brian Tyler,Far Cry 3 ( Original Game Soundtrack ),Soundtracks,$ 0.99,2012 Ubisoft Music,4:10,"December 4 , 2012",0
4421,Act My Age,One Direction,FOUR ( Ultimate Edition ),"Pop , Music",$ 1.29,2014 Simco Limited under exclusive license to Sony Music Entertainment UK Limited,3:18,17-Nov-14,31170,Rock The Boat,Danny Elfman,Milk,Soundtracks,$ 0.99,( C ) 2008 Decca Label Group,3:18,"November 24 , 2008",0
6355,Guru Guro,Hey Today !,Gildas KitsunÌ © Club Night Mix # 3,"Electronic , Music",$ 0.99,‰ ãÑ 2012 KitsunÌ ©,0:50,4-Dec-12,10724,So Hot,Honorebel,Club Scene,Pop,$ 1.29,"( C ) 2015 Musical Freedom Label Ltd under exclusive license to PM : AM Recordings , a division of Universal Music BV",4:23,"July 23 , 2013",0
6480,Why Did I Ever Like You,P!NK,Funhouse ( Deluxe Version ),"Pop , Music , Pop/Rock , Dance , R&B / Soul",Album Only,‰ ãÑ 2008 LaFace Records LLC,3:23,28-Oct-08,3911,Other People 's Eyes,Garrison Starr,Amateur,"Alternative Rock,Singer-Songwriters , Rock",$ 0.99,2012 Radtown Music ( ASCAP ),5:09,"May 1 , 2012",0
2959,Thinking About You ( feat . Ayah Marar ) [ Michael Brun Remix ],Calvin Harris,Thinking About You ( feat . Ayah Marar ) [ Remixes ],"Dance , Music",$ 1.29,2013 Sony Music Entertainment UK Limited,5:42,2-Aug-13,41974,Enchanted,Taylor Swift,Speak Now,"Country , Country Rock , Pop , Rock",$ 1.29,"( C ) 2010 Big Machine Records , LLC .",5:52,"October 25 , 2010",0
5953,Angel In the Wings,Olivia Newton-John & Jann Arden,A Celebration In Song,"Singer/Songwriter , Music , Rock , Christian & Gospel , CCM , Vocal , Pop , Adult Contemporary",$ 1.29,"‰ ãÑ 2011 ONJ Productions , Inc. . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by EMI CMG ,",3:21,25-Jan-11,12766,Put Your Thumb in the Air,Joe Scruggs,Deep In The Jungle,"Children 's Music , Folk",$ 0.99,( p ) La canzonetta record,2:43,"September 1 , 1987",0
5515,Before She Does ( Live ),Eric Church,Caught In the Act ( Live ),"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29,"‰ ãÑ 2013 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 401 Commerce Street , Suite 1100 , Nashville , TN 37219",3:42,5-Apr-13,36244,Asphalt Cowboy,Jason Aldean Tribute,Pickin ' on Jason Aldean : Georgia On My Mind : A Bluegrass Tribute,"Country , Pop , Rock",$ 0.99,"2006 CMH Records , Inc.",4:18,"November 22 , 2005",0
4876,Do n't Make Em Like You ( feat . Wiz Khalifa ),Ne-Yo,R.E.D. ( Deluxe Edition ),"R&B / Soul , Music",$ 1.29,"‰ ãÑ 2012 Motown Records , a Division of UMG Recordings , Inc.",4:09,6-Nov-12,32018,Block Of Wood,Aaron Zigman and Alexandre Desplat,Mr. Magorium 's Wonder Emporium ( Original Motion Picture Soundtrack ),Soundtracks,$ 1.29,"( C ) 2007 Walden Media , LLC",1:52,"November 8 , 2013",0
5145,Headlines,Drake,Take Care ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2011 Cash Money Records Inc.,3:56,15-Nov-11,6822,Tender Years,George Jones,Best Of George Jones : 20th Century Masters : The Millennium Collection,Country,$ 1.29,( C ) 2000 Mercury Records Inc.,2:25,"May 9 , 2000",0
5989,These Broken Hearts,Reba McEntire & Vince Gill,Reba Duets,"Country , Music , Honky Tonk , Contemporary Country",$ 0.99,"‰ ãÑ 2007 MCA Nashville , a Division of UMG Recordings , Inc.",4:25,18-Sep-07,11195,Me & My Boo,Cam ` Ron,Confessions Of Fire [ Explicit ],"Gangsta & Hardcore , Rap & Hip-Hop , East Coast",$ 0.99,( C ) 2015 Polydor Ltd. ( UK ),4:19,"July 21 , 1998",0
6833,The Heart Wants What it Wants,Selena Gomez,"Now That 's What I Call Music , Vol . 53","Pop , Music",Album Only,"‰ ãÑ This compilation ( P ) 2015 UMG Recordings , Inc. and Sony Music Entertainment",3:43,3-Feb-15,27984,Bang my Head ( feat . Sia ),David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,2015 If Moving Your Mine,3:53,"November 24 , 2014",0
807,Beauty and a Beat ( DJ Laszlo Body Rock Instrumental ),Justin Bieber,Beauty and a Beat ( Remixes ) [ feat . Nicki Minaj ],"Dance , Music , Rock , Electronic",$ 1.29,2012 The Island Def Jam Music Group,7:31,10-Dec-12,20583,Under Control,Ellie Goulding,Halcyon Days,Pop,$ 1.29,( C ) 2013 Polydor Ltd. ( UK ),4:06,"August 27 , 2013",0
6343,Jah No Partial ( feat . Flux Pavilion ) [ Skream Remix ],Major Lazer,Free the Universe ( Extended Version ),"Electronic , Music , Rock , Reggae , Modern Dancehall , Dance",$ 1.29,‰ ãÑ 2013 Secretly Canadian / Mad Decent,5:47,18-Jun-13,55387,Tesla,Flying Lotus,You 're Dead,"Alternative Rock , Dance & Electronic , Electronica , Dubstep",$ 0.99,2014 Warp Records Limited,1:54,"October 6 , 2014",0
