tableA_id,tableA_title,tableA_modelno,tableA_price,tableA_shipweight,tableA_brand,tableA_dimensions,tableB_id,tableB_title,tableB_modelno,tableB_price,tableB_shipweight,tableB_brand,tableB_dimensions,label
1724,Dixie Heavyweight Plastic Forks 100ct,FH207,7.15,1.271,Dixie,9.2 x 7.3 x 1.8 inches,19520,New-PIONEER CDX-P680 6-DISC CD CHANGER - PIOCDXP680,nan,134.95,10,Pioneer,nan,0
1296,Da-Lite Da-Glas Unframed Rear Projection Screen - 57 3 4 x 77 Video Format,27604,1609.99,366.0,Da-Lite,nan,16637,TomTom VIA 1405M 4.3-Inch Portable GPS Navigator with Lifetime Maps,1EN4.019.01,nan,1,TomTom,4.7 x 3.4 x 1.3 inches,0
2491,Tripp Lite SmartPro 1500VA UPS,SMART1500RM2U,499.0,57.26,Tripp Lite,23.75 x 19.75 x 9.0 inches,2755,Master Caster 00966 - Giant Foot Doorstop No-Slip Rubber Wedge 3-1 2w x 6-3 4d x 2h Safety Yellow-MAS00966,nan,15.0,3,Master Caster,nan,0
249,Solidtek Keyboard with Touch Pad Black,KB7070BU,59.99,2.9,Solidtek,18.3 x 8.2 x 1.7 inches,4274,Avery Sticker Project Paper White 8.5 x 11 Inches Pack of 15 03383,3383,12.54,3.4,Avery,11.1 x 8.8 x 0.3 inches,0
570,Startech 70 Coaxial High Resolution Monitor VGA Cable,MXT101MMHQ70,49.0,4.25,StarTech,9.5 x 9.0 x 3.9 inches,9,iGo Arctic Laptop Cooling Pad AC05065-0001,AC05065-0001,29.99,2,iGo,12.8 x 11.0 x 1.4 inches,0
2015,Kimberly-Clark Professional Scott Slimroll Hand Towel System White,10442,44.97,5.0,KIMBERLY-CLARK PROFESSIONAL,14.125 x 12.5 x 7.875 inches,6488,LD Compatible High Yield Black Laser Toner Cartridge for Lexmark 12A5845,nan,74.99,6.2,4inkjets,nan,0
2192,Garmin Fishfinder 140 with 4.7-Inch Display and Dual-Beam Transducer,Fishfinder 140,90.8,3.3,Garmin,6.1 x 4.9 x 2.6 inches,3206,DXG USA DXG-535VP HD Riviera 720p High-Definition Camcorder Luxe Collection Pink,DXG-535VP HD,78.88,3,DXG,12.2 x 6.5 x 4.0 inches,0
643,Casio Pouch Style Leather Carrying Case For The Exilim S And Z Series Digital Cameras - 2.75  D,EX-CASE2,14.98,0.15,Casio,3.75 x 2.75 x 1.5 inches,9499,Sony MDR-V600 Studio Monitor Series Headphones,MDRV600,64.99,2,Sony,9.8 x 7.0 x 4.2 inches,0
1880,Rubbermaid Commercial Square Gray Brute Lid,352700GY,16.49,2.8,Rubbermaid Commercial,24.25 x 22.125 x 2.0 inches,18080,Motorola MOTONAV TN20 TN30 GPS USB Vehicle Power Car Charger Adapter,nan,3.99,3,AccessoriesZone,nan,0
2536,Gator Cases ATA Molded Utility Case 11.7 x 16.7 x 5.9,GXDF-1116-5-TSA,139.99,13.0,Gator Cases,18.0 x 12.0 x 7.0 inches,16422,New-Smead 64291 - Hanging Pocket File Folders with Full Height Gusset Letter Assorted 4 Pack - SMD64291,nan,41.0,2.2,Smead,nan,0
1262,Manfrotto Unica V DSLR Messenger Bag,MB-SM390-5BC,89.99,3.2,Manfrotto,42.0 x 30.0 x 19.0 inches,12734,Manfrotto MB SM390-5BC UNICA V Messenger Bag Brown,MB SM390-5BC,89.89,3,Manfrotto,16.5 x 11.8 x 7.5 inches,1
1248,Advantus Premier Heavy-Duty Retractable ID Card Reel 24  Extension Black Chrome 12 Box,75406,60.94,0.615,nan,nan,10004,Brenthaven ProStyle Satchel for iPad 2163,2163,40.77,1,Brenthaven,10.5 x 8.5 x 2.5 inches,0
1630,Joby Gorillapod SLR Tripod,GP2A1EN,28.01,0.6,JOBY,10.9 x 5.1 x 3.5 inches,10851,Joby GP2-D1EN Gorillapod Flexible Tripod for Digital SLR Cameras with Bubble Level,GP2-D1EN,nan,1,Joby,9.8 x 2.0 x 2.0 inches,1
1464,Mace Security 60 RJ-11E Cable White,KO-60,29.82,2.25,Mace Security,8.0 x 5.0 x 2.0 inches,10431,GE 22557 LCD Plasma TV Screen Cleaning System,22557,15.76,1,Jasco,9.2 x 8.0 x 3.2 inches,0
602,Elmer s Corrugated Display Board 48 White 25-Carton,730300,68.59,29.0,nan,nan,16309,MMF Industries 2362011N20 - Tamper-Evident Deposit Cash Bags Plastic 12 x 16 Clear 100 Bags Box,nan,nan,11,MMF,nan,0
545,rooCASE Multi-Angle Leather Case for LG G-Slate 8.9-Inch 4G Tablet,222052,35.99,1.0,rooCASE,9.6 x 6.2 x 0.9 inches,5147,EDGE DiskGO Classic - USB flash drive - 1 GB - USB 2.0,Classic,8.39,0.8,Edge,nan,0
126,Audiovox Sirius Connect Home Dock for SP ST SV 3-5,SCHDOC1,55.13,2.5,Audiovox,7.3 x 5.1 x 4.1 inches,7324,USRobotics USR5637 56K USB FaxModem for Windows Mac Linux,USR5637,46.2,1,USRobotics,7.8 x 6.0 x 1.5 inches,0
1471,Epson America PowerLite D6250 Projector,ELPD6250,1599.0,16.84,Epson,21.46 x 19.53 x 10.4 inches,12612,Canon PIXMA MG6120 Wireless Inkjet Photo All-in-One Printer 4503B002,MG6120,113.5,26,Canon,18.5 x 14.5 x 6.9 inches,0
2398,Lenovo Black ThinkCentre M58 Small Form Factor Desktop PC with Pentium E5700 Processor and Windows 7 Professional,8910B4U,549.0,24.0,Lenovo,22.0 x 16.0 x 10.0 inches,13067,Hello Kitty 59009 Digital MP4 Player,Item #59009,39.99,3.2,Sakar,nan,0
2011,Sumdex NeoMetro Route Brief for 17  MacBook Pro,154678,55.99,3.68,Sumdex,16.25 x 12.25 x 2.25 inches,3024,Human Toolz Portable Lap Desk for 13-17-Inch Macbooks and Notebooks SLD101B,SLD101B,27.99,1,Human Toolz,17.0 x 13.0 x 0.5 inches,0
684,Weyerhaeuser Company MultiUse Premium Paper 98 Brightness 24lb 8-1 2 x 14 White 500 Sheets Ream,85781,12.47,7.808,nan,nan,12398,ADATA NBA Dwight Howard 4 GB USB 2.0 Flash Player ATNBA4GMDH,ATNBA4GMDH,19.99,1,A-DATA,2.2 x 1.4 x 0.4 inches,0
2455,Draper M2500 Clarion Fixed Frame Screen - 199 diagonal HDTV Format,252134,1177.99,57.0,Draper,nan,19790,Canon imageFORMULA P-150 Portable Document Scanner Scan-tini for Macintosh,4632B007,269.0,4,Canon,13.8 x 8.0 x 4.8 inches,0
1887,Philips ViBe 4GB MP3 Video Player,SA2VBE04KC/17,39.98,0.9,Philips,6.9 x 4.7 x 1.2 inches,6291,Genuine NEW Hewlett Packard C9385AN HP 88 Black Ink Cartridge,nan,24.07,3.6,HP,nan,0
2319,StarTech.com PYO3SATA 4in SATA Power Y Splitter Adapter Cable,PYO3SATA,8.88,0.1,StarTech,8.0 x 4.0 x 0.49 inches,21889,Yellow Image Drum for C6100 Series Printers,43381717,74.37,3,Oki Data,14.8 x 9.2 x 6.0 inches,0
209,Link Depot 80mm LED Computer Case Fan Black,FAN-80-BK,3.98,0.7,Link Depot,7.0 x 4.5 x 1.5 inches,13229,XFX AMD Radeon HD 6790 840 MHz 1 GB DDR5 Dual MiniDisplayPort Video Card HD-679X-ZDFC,HD679XZDFC,139.99,3,XFX,10.3 x 4.4 x 1.5 inches,0
637,BlackBerry PlayBook 7.0  Touchscreen 16GB Entertainment Tablet featuring BlackBerry Tablet Operating System,PRD-38548-001,498.0,0.9,BLACKBERRY,7.6 x 5.1 x 0.4 inches,15920,Blackberry Playbook 7-Inch Tablet 16GB,PRD-38548-001,407.98,2.4,BlackBerry,9.5 x 9.5 x 2.0 inches,1
1711,Smead File Folders 1 2 Cut 1-Ply Top Tab Manila 100 Box,15320,34.05,7.664,nan,nan,4649,Micronet Technology 2 Tb USB 2.0 External Hard Drive GDP2000EU,GDP2000EU,99.95,4,Micronet,10.7 x 9.0 x 3.4 inches,0
673,XFX AMD Radeon HD 6950 1GB DDR5 Graphics Card,HD695XZNDC,269.82,2.55,XFX,12.9 x 6.5 x 4.0 inches,19531,New-Hammermill 103036 - Fore MP Multipurpose Paper 96 Brightness 20lb 8-3 8 x 11-3 4 White 500 Ream - HAM103036,nan,26.8,11.4,Hammermill,nan,0
390,SanDisk UltraII 8GB Memory Stick PRO Duo,SDMSPDH008GA11,52.88,0.1,SanDisk,6.1 x 4.7 x 0.7 inches,3348,TRENDnet TV-IP121WN SecurView Wireless Day Night Internet Surveillance Camera,TV-IP121WN,124.71,3,TRENDnet,3.9 x 2.8 x 2.2 inches,0
788,Humminbird 778c HD Color Fishing System,407930-1,499.46,4.2,Humminbird,12.3 x 10.0 x 8.8 inches,14901,Humminbird 778c HD Fishfinder,407930-1,nan,5,Humminbird,12.3 x 10.0 x 8.8 inches,1
1573,StarTech 3 Slim 3.5mm Right Angle Stereo Audio Cable M M,MU3MMS2RA,7.88,0.04,StarTech,8.78 x 4.96 x 0.39 inches,2426,External Portable Power Source Battery Charger for iPhone 2G 3G 3GS,EXTERNAL BATTERY AND CHARGER FOR IPOD@@,5.6,2.4,Neewer,nan,0
2050,CP Technologies Clearlinks 6.6 Premium Gold HDMI Cable,CL-HDMI-PG-6.6FT,11.4,0.3,CP TECH,7.5 x 6.75 x 1.5 inches,19989,Foscam FI8918W Wireless Wired Pan Tilt IP Network Camera with 8 Meter Night Vision and 3.6mm Lens 67 Viewing Angle - Black NEWEST MODEL replaces the FI8908W,FI8918W,89.0,1.7,Foscam,4.3 x 4.2 x 3.9 inches,0
392,CyberPower TRVL918 3-Outlet Travel Surge Protector,TRVL918,17.88,28.0,CyberPower,4.92 x 2.05 x 1.66 inches,21566,Da-Lite 27637 Da-Glas Standard Rear Projection Screen 57 3 4 x 77 Video Format,nan,nan,390,Da-Lite,nan,0
2278,Compucessory Compucessory AA USB Extension Cable Black,nan,11.59,0.11,Compucessory,nan,5282,Ultrasone HFI-780 S-Logic Surround Sound Professional Headphones,HFI-780,nan,2,Ultrasone,10.5 x 8.5 x 4.0 inches,0
634,JVC Marshmallow Headphones Blue,HAFX35AN,15.54,0.15,JVC,0.75 x 0.62 x 0.5 inches,967,IOGEAR 8-Port VGA CAT5e 6 Audio Video Splitter GVS148TX Black,GVS148TX,272.99,2,Iogear,9.5 x 6.2 x 2.2 inches,0
2168,Thermaltake Massive23 ST Cooling Stand - 1 Fan s - 600rpm,nan,35.88,nan,Thermaltake,nan,4782,Kodak Easyshare M580 14 MP Digital Camera with 8x Wide Angle Optical Zoom and 3.0-Inch LCD Blue,EasyShare M580 Blue,nan,1,Kodak,5.8 x 5.8 x 2.3 inches,0
1550,TRENDnet TV-IP312W Wireless Day Night Internet Camera Server with 2-Way Audio,nan,244.88,nan,TRENDnet,nan,13576,Imation USB 2.0 Swivel Flash Drive - USB flash drive - 16 GB - USB 2.0,27125,23.94,2.1,Imation,5.3 x 5.0 x 1.5 inches,0
1933,Epson T060320 Ink Cartridge Magenta,T060320,16.84,0.15,Epson,5.6 x 4.4 x 0.8 inches,19625,Passport 21V Headset,202768,57.47,4,VXI,nan,0
1831,Da-Lite Matte White Advantage Manual with CSR - AV Format 9 x 12 diagonal,85691,1355.99,108.0,Da-Lite,nan,2557,Clover Electronics BUN0888 H.264 DVR Bundle with 8 Cameras,BUN0888,580.41,29,Clover,17.0 x 10.0 x 7.0 inches,0
196,Draper Matte White Envoy Electric Screen  - NTSC 150 diagonal,112018,1456.0,140.0,Draper,nan,8482,Kodak EasyShare M583 14 MP Digital Camera with 8x Optical Zoom and 3-Inch LCD - Black New Model,8627630,nan,1,Kodak,5.8 x 5.8 x 2.3 inches,0
419,Western Digital 1TB My Passport Essential SE USB 3.0 Portable External Hard Drive,WDBACX0010BBKSN,98.92,0.75,Western Digital,7.0 x 6.06 x 2.0 inches,9547,SMC EZ Switch Gigabit Unmanaged Switch,SMCGS8 EU,47.99,1.6,SMC,7.4 x 3.5 x 1.5 inches,0
2058,Sony 1GB Memory Stick Pro Duo Mark 2 2-Pack,nan,29.0,nan,Sony,nan,21095,Powermat Receiver Door for Blackberry Bold 9700,PMR-BBB2,25.71,3.2,Powermat,6.0 x 4.0 x 1.0 inches,0
567,Pioneer CD Player with MP3 WMA Playback,DEH-3300UB,123.0,3.15,Pioneer,10.0 x 8.9 x 4.5 inches,12173,Pioneer DEH-3300UB CD Receiver with iPod Direct Control and USB Input,DEH-3300UB,84.44,4,Pioneer,9.9 x 8.8 x 4.4 inches,1
1307,GE Receptacle with Safety Shutters White,54263,0.0,nan,General Electric,4.2 x 1.8 x 1.09 inches,12289,Belkin Conserve Insight F7C005q Energy-Use Monitor,F7C005q,28.24,1,Belkin,9.0 x 4.9 x 2.5 inches,0
182,Targus Zierra Case for BlackBerry Playbook Tablet Black,THZ053US,55.88,0.72,Targus,8.27 x 6.09 x 1.17 inches,1182,Epson Durabrite Ultra Ink Black T126120,T126120,18.65,1,Epson,4.5 x 4.4 x 0.8 inches,0
1077,Green Onions Supply Anti-Glare Screen Protector for 17-Inch Wide Laptop LCD screen -1 Piece Transparent,nan,32.88,nan,Green Onions Supply,nan,11884,Green Onions Supply RT-SPF1017W M Anti-Glare Screen Protector for 17-Inch Wide Laptop LCD screen -1 Piece Transparent,RT-SPF1017W/M,29.54,1,Green,15.2 x 10.9 x 0.1 inches,1
1577,foldIO P2 Leather Texture Folio Case for iPad 2 Black,IPD2FLBK,44.88,0.77,Scosche,13.0 x 9.0 x 1.0 inches,14876,iHome LifeTalks USB Foldable Headset Pink,IH-H411UP,29.55,1,iHome,7.1 x 6.7 x 2.6 inches,0
544,PNY 2GB SD Memory Card,P-SD2GB-FS,6.98,0.13,PNY,1.25 x 0.95 x 0.01 inches,5245,Body Glove Crc74869 Earglove Sport Stereo Mobile Phone Headset,nan,nan,2.4,Body Glove,nan,0
521,Draper IRUS Rear Projection Screen with No Frame - 100 diagonal NTSC Format,125130,3380.95,224.0,Draper,nan,9781,Patriot Signature 2 GB PC2-6400 DDR2 800MHz Notebook Memory PSD22G8002S,PSD22G8002S,23.99,1,Patriot,6.6 x 2.0 x 0.1 inches,0
1804,SOLO Cup Company Centerpiece Mediumweight White Foam Dinnerware 9  Diameter 125 Pack,RS9CYW,13.97,2.41,SOLO,16.875 x 9.0 x 9.0 inches,15475,Simplism Leather Collection Flip Leather Case for iPad Chocolate Black,TR-LCFLIPAD-CB/EN,nan,2,Simplism,14.0 x 10.0 x 2.0 inches,0
2357,Coby 7  LCD Portable DVD CD MP3 Player,TFDVD7379,85.71,2.5,Coby,7.9 x 6.1 x 1.6 inches,8352,Sport Fit In-ear Headphones,ATH-CKP300BK,nan,1,Audio-Technica,nan,0
2280,Draper Matte White Ultimate Access Series E Electric Screen - NTSC 15 diagonal,119019,2493.95,172.0,Draper,nan,12400,ACP-EP 4 GB DDR3 SDRAM Memory Module - 4 GB - 1066MHz DDR3-1066 PC3-8500 - DDR3 SDRAM - 204-pin SoDIMM AA1066D3S7 4G,AA1066D3S7/4G,39.18,1,ACP-EP Memory,6.5 x 2.5 x 0.8 inches,0
1391,Inland Pro 8-Sheet Paper Shredder,5302,47.54,5.0,Inland,14.7 x 12.13 x 7.09 inches,5155,DXG USA DXG-A80V HD DXG Pro Gear 1080p High-Definition Camcorder,DXG-A80VHD,223.99,3,DXG,10.5 x 6.8 x 3.6 inches,0
1135,Da-Lite Cherry Veneer Model B Manual Screen with Matte White Fabric - 96 x 96 Video Format,73263,446.99,31.0,Da-Lite,nan,21930,Mobile Screen Cleaner Mobile Device Screen Cleaning Kit,AC-CN0312-S1,6.2,1,SIIG,nan,0
951,Draper HiDef Grey Premier Electric Screen Premier 132 WideScreen HiDef Grey - WideScreen 132 diagonal,101282,1799.45,91.0,Draper,nan,263,New-NCR 856704 - Thermal Paper Rolls 2-1 4 x 165 ft White 30 rolls Carton - NCR856704,nan,60.0,25.9,NCR,nan,0
1360,iLuv Portfolio Case Stand for iPad 2 Black,ICC816BLK,35.88,0.56,iLuv,11.0 x 7.75 x 1.6 inches,12318,Avery 17332 - Silhouette Poly View Binder w Inside Pocket 1 Capacity Dark Blue,nan,nan,2.2,Avery,nan,0
