tableA_id,tableA_title,tableA_name,tableA_abstract,tableA_episodeNumber,tableA_seasonNumber,tableA_numberOfSeasons,tableA_numberOfEpisodes,tableA_birthDate,tableA_releaseDate,tableA_last_air_date,tableA_release_year,tableA_runtime,tableA_genre_list,tableA_origin_country,tableB_id,tableB_title,tableB_name,tableB_abstract,tableB_episodeNumber,tableB_seasonNumber,tableB_releaseDate,tableB_job,label
2363,nan,Heath Banks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1497,nan,Lynn Sellers,nan,nan,nan,nan,guestStars,0
351,Malibooboo,nan,nan,10.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1787,Malibooboo,nan,nan,10.0,1.0,nan,nan,1
5235,Hand Walk II ~ Daruma 7 ~ Bamboo Derby,nan,nan,7.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1229,Hand Walk II ~ Daruma 7 ~ Bamboo Derby,nan,nan,7.0,1.0,2008-02-03,nan,1
4004,The Pretender,nan,nan,7.0,3.0,nan,nan,nan,1961-11-12,nan,1961-01-01,nan,nan,nan,3878,nan,Daniel Baldwin,nan,nan,nan,nan,guestStars,0
1557,Broken,nan,Cara’s fate is in Kahlan’s hands when the Mord’Sith is put on trial for horrific crimes she committed in the past.,3.0,2.0,nan,nan,nan,2009-11-21,nan,2009-01-01,nan,nan,nan,4114,nan,Timothy Hutton,nan,nan,nan,nan,actor,0
1965,The Surrogate,nan,"Larry decides to buy a surrogate mother a gift, but it backfires.  He tries (and fails) to pass a routine physical and uses it as an advantage.",7.0,4.0,nan,nan,nan,2004-02-22,nan,2004-01-01,nan,nan,nan,7225,The Surrogate,nan,"Larry decides to buy a surrogate mother a gift, but it backfires.  He tries (and fails) to pass a routine physical and uses it as an advantage.",7.0,4.0,2004-02-22,nan,1
1511,nan,Matti Ij?s,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4782,Dirtiest Water Jobs,nan,"'Revisit of dirty jobs involving water: shark catcher/tagger (''Chinatown Garbage Collector''), golf ball diver (''Roadkill Cleaner''), oyster harvester (''Chick Sexer''), crawfish catcher (''Shrimper''), catfish noodler (''Worm Dung Farmer''), shrimper (''Shrimper'')",2.0,0.0,2005-12-20,nan,0
70,nan,Tae Hang-ho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7545,nan,"Victor Nelli, Jr.",nan,nan,nan,nan,directors,0
5538,nan,Frank Thomas,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7604,Listener,nan,Richard and Kahlan rescue a young child who can read a person's mind by looking into their eyes.,5.0,1.0,2008-11-22,nan,0
1925,nan,Jean de Segonzac,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2628,nan,Jill Lover,nan,nan,nan,nan,guestStars,0
3469,Revista Para Ciegos,nan,nan,24.0,6.0,nan,nan,nan,1999-06-17,nan,1999-01-01,nan,nan,nan,6603,nan,Michelle Forbes,nan,nan,nan,nan,actor,0
521,nan,John Ross Bowie,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5333,nan,John Ross Bowie,nan,nan,nan,nan,actor,1
2640,nan,Satoshi Iwataki,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5054,I Am Monty,nan,Monty doesn't think he is similar to anyone else in his family and wonders whether everyone in a family should be alike.,27.0,1.0,2016-09-13,nan,0
2007,Brotherly Love,nan,"'Sheppard and Lewis investigate the death of a man who has a twin brother. Gharty talks about wanting to live his life; he and Ballard go to the hospital to investigate the death of a teenager. Bayliss has interest in Sheppard; later he seeks advice from Stivers, who tells him to get in line behind Lewis and Falsone. Lewis and Sheppard interview the remaining twin and his mother; she confirms his story and they try to point to the dead twin's girlfriend. Meanwhile the friend of the teenage victim in Ballard and Gharty's case confesses that his friend wasn't shot in Baltimore, but rather D.C.; he drove his friend back to Baltimore so their parent's wouldn't ''''kill them'''' for buying drugs in D.C. Gee hopes to get the case moved to D.C. Mike Giardello puts in for his FBI transfer, but the only openings they have in the area are for liaisons to local police departments. He interviews with Gaffney, who is so open to the idea, he can't wait to tell Gee. That's something Mike was going to wait f",2.0,7.0,nan,nan,nan,1998-10-16,nan,1998-01-01,nan,nan,nan,2614,nan,Lynn Andrews,nan,nan,nan,nan,guestStars,0
2937,If the Shoe Fits...,nan,Mary Jane's birthday takes a backseat to family drama.,7.0,3.0,nan,nan,nan,2015-11-24,nan,2015-01-01,nan,nan,nan,2527,nan,Bobby Brown,nan,nan,nan,nan,guestStars,0
1059,Chapter 68,nan,The Shepherds push Claire on a Supreme Court nomination. Doug works to find a new path for himself. Claire consults with Jane on Syria.,3.0,6.0,nan,nan,nan,2018-11-02,nan,2018-01-01,nan,nan,nan,7557,nan,Tere Vad?n,nan,nan,nan,nan,guestStars,0
5972,The Eternal Vow: Part 1,nan,nan,28.0,7.0,nan,nan,nan,1960-05-15,nan,1960-01-01,nan,nan,nan,2681,nan,nan,nan,2.0,5.0,1967-12-15,nan,0
2162,nan,Frank Pugliese,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5970,nan,Frank Pugliese,nan,nan,nan,nan,director,1
5279,The Black Swan,nan,Larry has bad luck on the same golf hole twice.,7.0,7.0,nan,nan,nan,2009-11-01,nan,2009-01-01,nan,nan,nan,7786,The Black Swan,nan,Larry has bad luck on the same golf hole twice.,7.0,7.0,2009-11-01,nan,1
5569,Episode 10,nan,nan,10.0,1.0,nan,nan,nan,2019-02-17,nan,2019-01-01,nan,nan,nan,873,nan,David Attenborough,nan,nan,nan,nan,actor,0
1821,"The Family That Slays Together, Stays Together (1)",nan,"The OSI has put a termination contract on Brock's head, and three top assassins plan to collect. Meanwhile, the Monarch and Sgt. Hatred battle to see who will be Dr. Venture's arch.",12.0,3.0,nan,nan,nan,2008-08-17,nan,2008-01-01,nan,nan,nan,6795,F4 After Story 1,nan,nan,3.0,0.0,2009-04-28,nan,0
891,Now a Brief Word,nan,nan,6.0,4.0,nan,nan,nan,1956-09-29,nan,1956-01-01,nan,nan,nan,2162,nan,nan,nan,20.0,1.0,2016-12-24,nan,0
5227,The Velvet Trap,nan,nan,16.0,3.0,nan,nan,nan,1962-01-21,nan,1962-01-01,nan,nan,nan,3581,nan,Evette Dabney,nan,nan,nan,nan,guestStars,0
1741,nan,Michael Kelly,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2814,Super Rider II ~ Neko De Drive,nan,nan,27.0,1.0,2008-02-03,nan,0
863,Death Day,nan,"'Fortune-teller Shitoto can guess the ''Death Date'' of any person. The victims are all former marks of Lupin III. Jigen is hired to destroy the lithograph Shitoto uses to read these fortunes. Lupin teams up with Jigen, however, Lieutenant Oscar is waiting for him.",8.0,1.0,nan,nan,nan,2012-05-24,nan,2012-01-01,nan,nan,nan,3780,Death Day,nan,"'Fortune-teller Shitoto can guess the ''Death Date'' of any person. The victims are all former marks of Lupin III. Jigen is hired to destroy the lithograph Shitoto uses to read these fortunes. Lupin teams up with Jigen, however, Lieutenant Oscar is waiting for him. What does this fortune teller have in store for the fate of Fujiko? ",8.0,1.0,2012-05-23,nan,1
765,"Bay of Bones, Pembrokeshire",nan,nan,6.0,1.0,nan,nan,nan,2004-07-25,nan,2004-01-01,nan,nan,nan,513,About Activism: The Yes Men Fix the World,nan,nan,1.0,2.0,2014-09-03,nan,0
2303,nan,Mieke de Jong,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4162,Spanish On The Fly,nan,nan,6.0,1.0,nan,nan,0
4985,nan,Steve Crest,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1684,Super Dirty,nan,"'Revisit of dirtiest jobs: disaster cleanup crew member (''Sewer Inspector''), septic tank technician (''Worm Dung Farmer''), sewer inspector (''Sewer Inspector''), sludge recycler (''Sludge Cleaner''), fish gutter (''Bat Cave Scavenger''), charcoal maker (''Micro-Algae Man'') ",5.0,0.0,2006-01-03,nan,0
378,Love & Betrayal,nan,"Love is a universal and powerful emotion. But it can also be destructive. Lust can destroy, betrayal can wound. Such an often-irrational force asks questions of any society.",4.0,1.0,nan,nan,nan,2017-12-23,nan,2017-01-01,nan,nan,nan,361,nan,Robert F. Simon,nan,nan,nan,nan,guestStars,0
5831,nan,Ian Wang,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2727,nan,James Earl Jones,nan,nan,nan,nan,guestStars,0
4157,Freedom,nan,nan,2.0,2.0,nan,nan,nan,2015-02-10,nan,2015-01-01,nan,nan,nan,7461,Freedom,nan,"'Mary Jane's plans for an anxiety-free weekend go awry when Mark asks her to be his ''beard'' during an unexpected visit from his parents. In other events, Mary Jane's interview of a teen sex worker makes her re-evaluate her relationship with Niecy.",2.0,2.0,2015-02-10,nan,1
161,nan,Brian Kratz,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,John David Coles,nan,nan,nan,nan,director,0
4063,Death of a Doxy (1),nan,"A simple favor for a friend leads Archie to a dead body.  The friend is arrested but Wolfe suspects the real murderer is still on the loose, though Archie isn't so sure.  His investigations take him to the victim's sister, who is willing to go to any length to keep her sibling's transgressions a secret.  Only a clever ruse by Wolfe finally flushes out the killer.",1.0,2.0,nan,nan,nan,2002-04-14,nan,2002-01-01,nan,nan,nan,5031,Death of a Doxy (1),nan,"Orrie Cather, one of Wolfe's operatives, has been secretly seeing a wealthy man's kept mistress at her secret love nest. He is arrested when she turns up dead.",1.0,2.0,2002-04-14,nan,1
5026,Circles of Panic,nan,nan,5.0,7.0,nan,nan,nan,1959-10-25,nan,1959-01-01,nan,nan,nan,1883,nan,Alex Dunand,nan,nan,nan,nan,guestStars,0
2834,nan,Harry J. Wild,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7257,nan,Ahn Nae-sang,nan,nan,nan,nan,actor,0
5606,nan,T Bone Burnett,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4064,nan,Francis McDonald,nan,nan,nan,nan,guestStars,0
810,Mel's Offer,nan,"After going to a Karaoke bar that Mel Brooks is performing at, Mel is so impressed with Larry's singing that he asks Larry to be the star of his broadway show.",1.0,4.0,nan,nan,nan,2004-01-04,nan,2004-01-01,nan,nan,nan,7378,nan,Howard Jerome,nan,nan,nan,nan,guestStars,0
5845,nan,Loureen Kiss,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6639,nan,Andreas Kraemer,nan,nan,nan,nan,guestStars,0
5489,nan,David Williams,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4346,nan,Larry Gilliard Jr.,nan,nan,nan,nan,guestStars,0
1293,If You Have Ghosts,nan,Wayne finds himself in a no-win situation as new clues emerge in the Purcell case. Roland wrestles with how to keep evidence secure as lawyers demand a new investigation. Amelia finds her relationship with Wayne imperiled by her writing aspirations and his jealousy.,5.0,3.0,nan,nan,nan,2019-02-03,nan,2019-01-01,nan,nan,nan,2822,nan,Geraldine Brooks,nan,nan,nan,nan,guestStars,0
4893,nan,Keir O'Donnell,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1947,The Siege of Troy,nan,Adam receives bad news from Suva and he has unknowingly provided passage for two smugglers.,21.0,1.0,1960-03-07,nan,0
676,Monkey Caretaker,nan,Mike Rowe meets his match when he travels to South Africa to take care of monkeys that are being trained to go back into the wild,16.0,2.0,nan,nan,nan,2006-08-29,nan,2006-01-01,nan,nan,nan,7615,Dark,nan,"Richard learns to use his wizard powers by the Sisters of the Light, while Zedd must name a new Seeker when Sister Nicci reveals a shocking secret.",9.0,2.0,2010-01-23,nan,0
982,Other Lives,nan,Ray and Frank contemplate new life choices. Ani and Paul follow a lead up the coast. ,5.0,2.0,nan,nan,nan,2015-07-19,nan,2015-01-01,nan,nan,nan,7436,The Pit of Silence,nan,"Captain Troy has to pick up the Baron Andre, and soon discovers the Baron's body half eaten by a savage beast. Troy  rules out accidental death and searchs for  the murderer.",1.0,1.0,1959-10-05,nan,0
1390,nan,Jon Laurimore,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1549,Episode 8,nan,nan,8.0,2.0,2018-04-27,nan,0
371,nan,Rachel Brosnahan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2545,nan,Rachel Brosnahan,nan,nan,nan,nan,guestStars,1
2614,Honor Bound,nan,nan,12.0,1.0,nan,nan,nan,1962-05-08,nan,1962-01-01,nan,nan,nan,1042,nan,Shawn Hatosy,nan,nan,nan,nan,guestStars,0
2675,nan,Candace B. Harris,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7722,nan,Rachel Wulff,nan,nan,nan,nan,guestStars,0
6027,nan,Josh Flanagan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1535,Shinobu Time - Part 4,nan,"'In exchange for her help, Gaen requests three tasks from Koyomi, all being connected to Suruga Kanbaru, formerly known as Suruga Gaen. Izuko reveals herself as her aunt, but she doesn't want to be introduced to her as one, because she cares for Suruga's feelings. When Koyomi accepts, she shows the darkness' true motive - it is after apparitions not behaving like they should, and this time it isn't after Shinobu, but Mayoi. She exposes Mayoi as a ''ghost of a ghost'', who should have passed on on Mother's Day, when she finally found her way home; she also stopped leading people astray, neglecting her duty as a lost cow. After Gaen leaves, Mayoi realizes she has to pass on, rather than be eaten by the darkness, and thus she bids Koyomi farewell by kissing him and telling that she loved him. Four months later, Koyomi tells the story of the incident to only one person - Ougi Oshino. On his way home, he realizes he never told Mayoi one thing he should have said - goodbye. ",17.0,3.0,2013-11-17,nan,0
5110,Piggy Blues,nan,"Monty discovers Jimmy Jones is sad and tries to cheer him up, but wonders why everyone can't be happy all the time.",46.0,1.0,nan,nan,nan,2017-07-03,nan,2017-01-01,nan,nan,nan,279,Errand of Mercy,nan,nan,32.0,2.0,1961-05-29,nan,0
659,nan,Upstairs Inferno,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2127,nan,Jerry Stiller,nan,nan,nan,nan,guestStars,0
2354,nan,Bert Eason,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38,Shinobu Mail - Part 1,nan,"Koyomi Araragi waits in the ruins of the cram school to ask Suruga Kanbaru for help, a request he hopes she will refuse.",7.0,4.0,2015-11-15,nan,0
5490,nan,Song Boo-Gun,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2074,Tsubasa Tiger - Part 4,nan,"'Tsubasa awakens in the next day at the Araragi house and finds out that she was possessed again. As she leaves the house, she is stopped by Koyomi's mother, Mrs. Araragi. The mother explains that while having Tsubasa as a guest is no burden to them, she should not consider the Araragi family as her own. Mrs. Araragi also explains that adverting ones eyes from the truth isn't running away from the problem, mentioning Tsubasa's strained relationship with her own parents. Later, while walking through a park, Tsubasa encounters a man named 'Mr. Episode', who is a half-vampire and once almost killed her. He was also accompanied by a woman named Izuko Gaen, who Meme referred to as his senpai. Gaen claims she knows everything, but surprises Tsubasa when she shows her knowledge on Tsubasa's feelings towards Koyomi, aswell as her tiger problem. Gaen and Mr. Episode depart, after saying that Tsubasa's problem is her own, and only she can solve it. Tsubasa goes to the library to research ''Kako'', what Gaen called the Tiger, but finds nothing. She calls Hitagi, whom expresses her concern that Gaen named the Tiger ''Kako'' herself, to learn that Gaen was the maiden name of Kanbaru and her mother. Hitagi then explains that Tsubasa and the burnings are linked, as wherever Tsubasa sleeps, the place burns down soon after, which may eventually include Hitagi and Koyomi's houses. Tsubasa returns to the Araragi house, to be forced into a game of cards with Karen and Tsukihi. They discuss what the words ''fire'' and ''flame'' mean, and the sister's boyfriends. Tsubasa explains that Koyomi refuses to acknowledge the sister's boyfriends because of envy, then realizes that she is being jealous. As she prepares to confront the tiger, Tsubasa believes that she may never be able to see Koyomi again, and after attempting to leave her own mark in Koyomi's room so he remembers her, she takes a picture of herself and sends it to someone, and writes a note to her other self, in hopes that they can share each others knowledge and feelings. ",4.0,3.0,2013-07-28,nan,0
2185,nan,Gianluca Favilla,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,214,"Shakespeare, 1564-1616",nan,"'The ''rough magic'' of William Shakespeare's onstage verse. Featured performers: John Gielgud, Peggy Ashcroft, and Ralph Richardson.",5.0,1.0,1984-05-30,nan,0
2838,nan,?ric Serra,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4804,Episode 4,nan,nan,4.0,1.0,2015-07-14,nan,0
3402,nan,ITV Central,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GB,2369,nan,Jerado Decordovier,nan,nan,nan,nan,guestStars,0
4992,nan,Marta Rasoknik,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5770,nan,December Ensminger,nan,nan,nan,nan,guestStars,0
2796,The Flood,nan,nan,19.0,2.0,nan,nan,nan,1955-01-09,nan,1955-01-01,nan,nan,nan,231,nan,Marcia Warren,nan,nan,nan,nan,actor,0
1163,Coconut Safari Club,nan,Monty is surprised when his family tell him that Jimmy Jones can't appreciate music because he's an animal.,20.0,1.0,nan,nan,nan,2016-09-02,nan,2016-01-01,nan,nan,nan,2027,Sparrow,nan,Mary Jane learns the sad news about Lisa; and deals with Lisa's family when they come to town.,3.0,3.0,2015-10-27,nan,0
435,nan,Luis Enrique Rold?n,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,602,nan,Susanna Kuparinen,nan,nan,nan,nan,guestStars,0
368,A Nero Wolfe Mystery,nan,"Genius detective Nero Wolfe and his right-hand man, Archie Goodwin, solve seemingly impossible crimes.",nan,nan,2.0,28.0,nan,2001-04-22,2002-08-18,2001-01-01,60, Comedy,US,4025,Nero Wolfe (2001),nan,"Genius detective Nero Wolfe and his right-hand man, Archie Goodwin, solve seemingly impossible crimes.",nan,nan,2001-04-01,nan,1
744,Kangaroo ~ Muscle Gym ~ Extra Kendama,nan,nan,26.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2050,Kangaroo ~ Muscle Gym ~ Extra Kendama,nan,nan,26.0,1.0,2008-02-03,nan,1
1058,Milton 1608-1674,nan,"Milton's dedication, his humanity and his blindness are all given illustration in Ian Richardson's reading of the sonnet to his dead wife, Katharine, while his eloquence is highlighted in Richardson's spectacular readings from Paradise Lost.",7.0,1.0,nan,nan,nan,1984-06-13,nan,1984-01-01,nan,nan,nan,380,nan,Akiyuki Shinbo,nan,nan,nan,nan,director,0
4506,nan,Morgan Johnson,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6036,nan,Lynn Hamilton,nan,nan,nan,nan,guestStars,0
3738,nan,Moses Chan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7408,nan,Oscar Nunez,nan,nan,nan,nan,guestStars,0
4175,Marriage Crisis,nan,nan,20.0,6.0,nan,nan,nan,1959-02-15,nan,1959-01-01,nan,nan,nan,3205,nan,Harry Bartell,nan,nan,nan,nan,guestStars,0
2641,Ein heiliges Wunder,nan,nan,1.0,1.0,nan,nan,nan,2012-09-18,nan,2012-01-01,nan,nan,nan,2511,Das Wirtschaftswunder,nan,"Das Wunder von Braunschlag zieht seine Kreise. W?hrend Richard und Gerri mit der Wunderstelle Geld scheffeln, hat Elfi nur eines im Kopf, schwanger zu werden. Der Vatikankommissar Banyardi versucht indessen vergeblich, dem Spuk Herr zu werden. Da er sich aber in die deutsche Magd Silke, die auf dem Hof von Gerri Tschachs Mutter arbeitet, verliebt, m?chte er die Untersuchung des Wunders ein wenig verl?ngern. Endlich ist Elfi schwanger, doch sie wei? nicht, dass ihr Ehemann Richard unfruchtbar ist.",2.0,1.0,2012-09-18,nan,0
4633,nan,Kaya Matsutani,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4772,nan,Johannes Thanheiser,nan,nan,nan,nan,actor,0
3894,nan,Univision,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,US,3203,"Now Museum, Now You Don't",nan,"'Dr. Jonas Venture Jr. builds a museum in honor of his ''father,'' and invites all of Jonas Sr.'s old friends and enemies to the grand opening.",9.0,3.0,2008-07-27,nan,0
4297,Bell Maker,nan,Mike Rowe rolls up his sleeve and gets dirty making giant bells at the McShane Bell Foundry. Mike also gets down and dirty with the US Army Corps of Engineers as they conduct yearly maintenance on a hurricane barrier that was raised from the oceans floor.,19.0,2.0,nan,nan,nan,2006-12-12,nan,2006-01-01,nan,nan,nan,6051,nan,Bruno Hampel,nan,nan,nan,nan,writers,0
870,nan,William Pettigrew,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,747,nan,Kathrin Bachert,nan,nan,nan,nan,actor,0
4142,nan,Noel Behn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6236,Larry vs. Michael J. Fox,nan,"Larry accuses his neighbor, Michael J. Fox of harassment; Jeff takes a bullet for Susie; Larry gives an inappropriate gift to Elizabeth's son. ",10.0,8.0,2011-09-11,nan,0
5181,Monsters,nan,Jimmy Jones is scared of monsters under the bed and Monty wonders how they can be scary.,7.0,1.0,nan,nan,nan,2016-06-28,nan,2016-01-01,nan,nan,nan,812,Monsters,nan,Jimmy Jones is scared of monsters under the bed and Monty wonders how they can be scary.,7.0,1.0,2016-06-28,nan,1
1084,Chapter 57,nan,"Nine weeks after Election Day, the Underwoods work to consolidate their power. Leann tries to track down a missing Aidan Macallan.",5.0,5.0,nan,nan,nan,2017-05-30,nan,2017-01-01,nan,nan,nan,5191,Chapter 57,nan,"Nine weeks after Election Day, the Underwoods work to consolidate their power. Leann tries to track down a missing Aidan Macallan.",5.0,5.0,2017-05-30,nan,1
818,"Parys underground, Anglesey",nan,nan,4.0,1.0,nan,nan,nan,2004-07-11,nan,2004-01-01,nan,nan,nan,3470,nan,Zeljko Ivanek,nan,nan,nan,nan,actor,0
5404,nan,Douglas A. Mowat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3470,nan,Zeljko Ivanek,nan,nan,nan,nan,actor,0
319,nan,Jennifer Dahlman,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4636,nan,Douglas M. Griffin,nan,nan,nan,nan,guestStars,0
874,Balangiga: Howling Wilderness,nan,"1901, Balangiga. Eight-year-old Kulas flees town with his grandfather and their carabao to escape General Smith's Kill & Burn order. He finds a toddler amid a sea of corpses and together, the two boys struggle to survive the American occupation.",nan,nan,nan,nan,nan,2017-10-20,nan,2017-01-01,120,History,nan,1514,nan,nan,nan,1.0,1.0,1963-06-06,nan,0
2229,nan,Barrie Melrose,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6298,Monster Rancher,nan,"'Monster Rancher is about a kid named Genki who gets sucked into his favorite videogame. There he meets Moochi, Holly, Suezo, Tiger, Golem and Hare, together they go on a journey find the Phoenix and stop Moo's diabolical plan. While Monster Rancher has a 3rd season, it will NOT be airing here in the U.S. Characters Genki:An 11 year-old corageous, athletic, but not too bright kid that was sucked into his video game.  Holly:A girl that lost her father at a young age. Holly was born and raised in Monster World, and likes things to be peaceful so she wants to find the Phoenix to return the peace. Suezo:Holly's childhood companion monster. He goes with her on all her adventures to keep her safe. Golem:Once a protector of disks, Golem now travels with the group in search of the Phoenix. He might look big and mean but he really is a softy in the inside. Hare:Once a medal",nan,nan,1999-04-17,nan,0
1506,nan,Giselher Schweitzer,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1912,Loyalty,nan,"In the first of a two-part story, the badly burned body of a disabled man turns up in a remote part of Manchester and a few days later another corpse is discovered. The detectives start to realise the victims were not just murdered, but tortured too. They make an arrest, but it becomes clear their investigation has just scratched the surface. Meanwhile, Janet throws her husband out and Rachel's estranged brother turns up on her doorstep.",1.0,2.0,2012-03-12,nan,0
1290,nan,Lisa Vidal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1810,nan,Lisa Vidal,nan,nan,nan,nan,actor,1
2048,nan,Carme Elias,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69,nan,Amelia Bullmore,nan,nan,nan,nan,writers,0
1307,El Payaso en la C?rcel,nan,nan,17.0,6.0,nan,nan,nan,1999-04-29,nan,1999-01-01,nan,nan,nan,5648,Survival,nan,"'David discovers the plants that have evolved to shed their dependency on water enabling them to survive in the driest environments.The story begins at midnight in midsummer as David steps into the Princess of Wales Conservatory to witness the extraordinary nocturnal blooming of a cactus. The queen of the night, with its giant flowers, is the centre piece of a stunning symphony of cacti blooms that burst open in the desert (and at Kew) at night. In a mesmerizing 3D slow motion sequence, we discover the extraordinary connections between cacti and their natural pollinators: bats.The scene typifies the unique splendour of the 3D experience as bats seem to fly out of the screen and into the viewers’ living room.As the sun rises, David meets other amazing plants. Species like the century plant, the Agave franzosini, which grows steadily for over 50 years, only to then flower itself to death with one mighty telegraph pole sized bloom which literally bursts out of the roof of Kew’s green house.  Cracking the code to plants’ survival strategies is the key to protecting their future and Kew have built a high tech long-term solution fifty miles south of the Gardens. Described as mankind’s ultimate insurance policy, and with 10% already safely stored deep frozen, Kew’s Millennium Seed Bank has the capacity to store seeds from the vast majority of remaining species of plant on the planet, thus saving plants from extinction in the future.",3.0,1.0,2012-06-10,nan,0
4765,nan,Roy Garcia,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4965,"You Only Live Once, YOLO!",nan,"Seeing the great view of Victoria Falls, the four young actors recall their memories for the last 11 days in Africa and they become emotional. They go rafting on the Zambezi River and enjoy one of the most thrilling experiences in their lives. Jun Yeol and Bo Gum move to do a bungee jump while the others give up.",6.0,4.0,2016-03-25,nan,0
1273,nan,?????? ????????,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,719,nan,Ken Whittingham,nan,nan,nan,nan,directors,0
2853,nan,Robin Wright,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3670,nan,Yuuya Takahashi,nan,nan,nan,nan,writers,0
1659,nan,Kim Jae-wook,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4368,nan,Matthew Walker,nan,nan,nan,nan,guestStars,0
5552,nan,Haruko Wanibuchi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1959,Episode 2,nan,nan,2.0,2.0,2017-08-14,nan,0
5891,nan,Mariya Vinogradova,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4184,Dirty Jobs,nan,"DIRTY JOBS profiles the unsung American laborers who make their living in the most unthinkable -- yet vital -- ways. Our brave host and apprentice Mike Rowe will introduce you to a hardworking group of men and women who overcome fear, danger and sometimes stench and overall ickiness to accomplish their daily tasks.",nan,nan,2003-11-07,nan,0
523,Abandoned Mine Plugger,nan,Mike travels to Ohio to check on the Common Tern population and then he finds himself in Northern California plugging an abandoned mineshaft.,2.0,5.0,nan,nan,nan,2009-01-13,nan,2009-01-01,nan,nan,nan,2885,nan,David A. Goodman,nan,nan,nan,nan,writers,0
4141,nan,Mckenna Grace,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3039,nan,Jane Smiley,nan,nan,nan,nan,writers,0
3496,nan,Miles Luna,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7545,nan,"Victor Nelli, Jr.",nan,nan,nan,nan,directors,0
3901,Indictment,nan,nan,20.0,1.0,nan,nan,nan,1974-04-26,nan,1974-01-01,nan,nan,nan,145,Wild Goose Chase,nan,"'Mike Rowe goes on a wild goose chase - literally! After traveling to the tundra, Mike joins forces with a team of workers that round up a flock of wild geese with airplanes.",22.0,0.0,2007-08-27,nan,0
