tableA_id,tableA_title,tableA_name,tableA_episodeNumber,tableA_seasonNumber,tableA_deathYear,tableA_birthYear,tableA_endYear,tableA_startYear,tableA_genre_list,tableA_primaryProfessions,tableA_runtimeMinutes,tableB_id,tableB_title,tableB_name,tableB_abstract,tableB_episodeNumber,tableB_seasonNumber,tableB_releaseDate,tableB_job,label
1115,nan,Leslie Libman,nan,nan,nan,nan,nan,nan,nan,"director,producer,miscellaneous",nan,141,nan,Libby Hinson,nan,nan,nan,nan,writers,0
185,nan,Billy Bretherton,nan,nan,nan,nan,nan,nan,nan,nan,nan,5195,nan,G. Maximilian Zarou,nan,nan,nan,nan,guestStars,0
546,The Intruders,nan,2.0,2.0,nan,nan,nan,1960-01-01,Adventure,nan,60.0,4589,The Intruders,nan,nan,2.0,2.0,1960-10-10,nan,1
4116,Der Sekret?r,nan,nan,nan,nan,nan,nan,1967-01-01,"Documentary,Short",nan,29.0,608,Episode 5,nan,nan,5.0,2.0,2017-08-21,nan,0
1251,nan,Eugene Lee,nan,nan,nan,nan,nan,nan,nan,"actor,miscellaneous,writer",nan,471,nan,Eugene Lee,nan,nan,nan,nan,writers,1
3033,nan,Robert Klupp,nan,nan,1975-01-01,1890-01-01,nan,nan,nan,"actor,miscellaneous",nan,292,nan,Tim Kazurinsky,nan,nan,nan,nan,guestStars,0
3197,nan,Albert Salmi,nan,nan,1990-01-01,1927-01-01,nan,nan,nan,actor,nan,589,nan,Albert Salmi,nan,nan,nan,nan,guestStars,1
5044,The Heart of a Saturday Night,nan,7.0,5.0,nan,nan,nan,1996-01-01,"Crime,Drama,Mystery",nan,nan,4398,nan,Son Eun-Seo,nan,nan,nan,nan,actor,0
3453,nan,Mel Brooks,nan,nan,nan,1926-01-01,nan,nan,nan,"actor,writer,soundtrack",nan,932,nan,Mel Brooks,nan,nan,nan,nan,guestStars,1
2375,nan,John Milford,nan,nan,2000-01-01,1927-01-01,nan,nan,nan,"actor,soundtrack",nan,678,nan,Lisa Matthews,nan,nan,nan,nan,guestStars,0
5038,nan,Sergey Skvortsov,nan,nan,nan,nan,nan,nan,nan,"actor,writer,producer",nan,2819,nan,Robert Pugh,nan,nan,nan,nan,actor,0
3970,nan,Annie Albers,nan,nan,1994-01-01,1899-01-01,nan,nan,nan,nan,nan,600,nan,Roope Mokka,nan,nan,nan,nan,guestStars,0
5016,nan,Constance Cameron,nan,nan,nan,nan,nan,nan,nan,actress,nan,677,nan,Nic Pizzolatto,nan,nan,nan,nan,director,0
5078,I Want to Get Married,nan,7.0,6.0,nan,nan,nan,1958-01-01,Drama,nan,30.0,2183,nan,Angie Levrone,nan,nan,nan,nan,guestStars,0
3446,nan,Carol Eve Rossen,nan,nan,nan,1937-01-01,nan,nan,nan,"actress,miscellaneous",nan,1414,nan,Yesung,nan,nan,nan,nan,actor,0
4117,Christmas Stopover,nan,17.0,3.0,nan,nan,nan,1955-01-01,Drama,nan,30.0,6214,Welcome to the Kingdom of Animals,nan,"After having relaxing days in Swakopmund, they hit the road again to see wild animals this time. They head to Etosha National Park which is known as home to numerous kinds of wild animals. They are surprised by an appearance of a wild animal at the entrance of the park. For the second camping in Africa, Jae Hong cooks again. While having dinner, they bring back their old memories and talk about their career and friendship.",4.0,4.0,2016-03-11,nan,0
2026,Opening Night,nan,10.0,4.0,nan,nan,nan,2004-01-01,Comedy,nan,59.0,1540,nan,Wendell Neal Jr.,nan,nan,nan,nan,guestStars,0
2998,Porno Gil,nan,3.0,1.0,nan,nan,nan,2000-01-01,Comedy,nan,29.0,3189,nan,Robert Beitzel,nan,nan,nan,nan,guestStars,0
4791,nan,Imogen Slaughter,nan,nan,nan,nan,nan,nan,nan,actress,nan,909,nan,nan,nan,8.0,1.0,nan,nan,0
3891,nan,Noel De Souza,nan,nan,nan,1925-01-01,nan,nan,nan,"actor,make_up_department,miscellaneous",nan,3914,Hakuna Matata,nan,"Although Bo Gum misses his flight, he manages to arrive safely in Namibia and joins the others. Their first destination is Sossusvlei. On their way to Sossusvlei, they get to see beautiful sceneries of Africa and take many photos. They are excited about having a camping in the middle of African desert for the first time in their lives. Jae Hong cooks for the others who are tired from a long drive.",2.0,4.0,2016-02-26,nan,0
823,nan,Rudolf Jugert,nan,nan,1979-01-01,1907-01-01,nan,nan,nan,"director,assistant_director,writer",nan,6995,nan,Antoinette Spolar-Levine,nan,nan,nan,nan,guestStars,0
5060,nan,Alan Reynolds,nan,nan,1976-01-01,1908-01-01,nan,nan,nan,actor,nan,3231,nan,Joe Liss,nan,nan,nan,nan,guestStars,0
4924,nan,Wilmut Borell,nan,nan,1997-01-01,1922-01-01,nan,nan,nan,actor,nan,3199,nan,Karl Fischer,nan,nan,nan,nan,actor,0
2493,nan,Thomas Levenson,nan,nan,nan,nan,nan,nan,nan,"producer,writer,director",nan,3974,nan,Carey Wilber,nan,nan,nan,nan,writers,0
4471,nan,Shane Withington,nan,nan,nan,1958-01-01,nan,nan,nan,actor,nan,5919,Faceless,nan,"At the Surge Consortium, Prof. Surge himself introduces the new non-polluting battery. Ace the guest there hears a rumbling noise and investigates the newest room with one of the security guards. Both received a surprise attack from a woman with no face. Ace tried to stop her but she outmatched Ace. Hours later, Surge is angry about the theft of the silicon rods and without know understanding the reason. Ace learns that her name is Faceless from Vega, the most clever thief in Electro City. She also been hired by Black Jack to stop Sonny Boy who has been incriminating evidence which could put Black in jail. Faceless starts having much fun to the dismay of Ace who finds the Magic Express particly trashed along with one of her riddles, Vega is caught sleeping on the job by Capt. Freidrichs via the newspaper, and Black Jack who wants Faceless to stick to the job at hand. Ace and Cosmo decipher the riddle and gets set for a midnight meeting on the dock. Faceless steals a titanium tube from",12.0,1.0,1999-05-15,nan,0
5080,nan,Otto Zelenka,nan,nan,2013-01-01,1931-01-01,nan,nan,nan,"writer,actor",nan,995,nan,Jo Young-Jin,nan,nan,nan,nan,actor,0
4635,nan,Vickie Sue Conley,nan,nan,nan,nan,nan,nan,nan,actress,nan,256,nan,Wolfgang Becker,nan,nan,nan,nan,director,0
2051,nan,George Nader,nan,nan,2002-01-01,1921-01-01,nan,nan,nan,"actor,director,producer",nan,3466,Star Blazers,nan,"'''Star Blazers'' is an American animated television series adaptation of the popular Japanese anime series ''Space Battleship Yamato.'' In the year 2199, a starship must make a dangerous voyage to the distant planet Iscandar and back to save Earth from an alien invasion. The show consists of three television seasons. Each an English-language adaption of its Japanese counterpart ''Space Battleship Yamato''. Star Blazers was first broadcast in the United States in 1979. It was the first popular English-translated anime that had a story arc that required the episodes to be shown in order. It dealt with somewhat more mature themes than other productions aimed at the same target audience of that time. As a result, it paved the way for future ''arc-based, plot-driven anime translations.",nan,nan,1977-10-01,nan,0
759,nan,Clara Henry,nan,nan,nan,nan,nan,nan,nan,actress,nan,6774,nan,John Panzarella,nan,nan,nan,nan,guestStars,0
4855,nan,Harry J. Wild,nan,nan,1961-01-01,1901-01-01,nan,nan,nan,"cinematographer,camera_department",nan,744,nan,Per Andersson,nan,nan,nan,nan,guestStars,0
3257,nan,Jeff Richards,nan,nan,1989-01-01,1924-01-01,nan,nan,nan,"actor,soundtrack",nan,1765,nan,Jeff Richards,nan,nan,nan,nan,guestStars,1
3862,nan,Kathleen Murray,nan,nan,1969-01-01,1928-01-01,nan,nan,nan,actress,nan,2943,Kuroba Kaito,nan,"After the explosion at the Governor Office, Hiroshi brings in the military police to protect the governor. However, Oda and Kenta oppose and try to stop any reports of the bombing from being true. Meanwhile, Fukuda and  Matsuura start to investigate possible leads, starting with the suspicious power outage and the electrician.",19.0,1.0,2019-06-08,nan,0
3164,The Big Never,nan,3.0,3.0,nan,nan,nan,2019-01-01,"Crime,Drama,Mystery",nan,55.0,2451,The Big Never,nan,"Hays recalls his early romance with Amelia, as well as some cracks in their relationship that surfaced after they married and had children. Ten years after the Purcell crimes took place, new evidence emerges, giving Hays a second chance to vindicate himself and the investigation.",3.0,3.0,2019-01-20,nan,1
54,Ede's Bombshell,nan,25.0,2.0,nan,nan,nan,1962-01-01,"Adventure,Drama,Family",nan,30.0,2772,nan,Brian Constantini,nan,nan,nan,nan,guestStars,0
1141,nan,Scatman Crothers,nan,nan,1986-01-01,1910-01-01,nan,nan,nan,"actor,soundtrack",nan,5551,Spy Groove,nan,"A fast-paced, technicolor espionage comedy, Spy Groove follows the globe-trotting antics of two super-suave secret agents as they set forth on missions to annihilate fashionable imposters, stylish villains and vanity junkies. Follow Agent #1 and Agent #2 - clad in name-brand fashions and wielding designer gadgets - as they jet to exotic locations on classified missions to protect the elite leisure life from perpetrators of bad style.",nan,nan,2009-07-17,nan,0
3188,nan,Mel Mendoza-Del Rosario,nan,nan,nan,nan,nan,nan,nan,"miscellaneous,writer",nan,4345,Pinocchio's Song,nan,"Kang Woo returns to Korea and reports to the higher ups about what he has been doing and the cartel that is behind Doctor Fabre. Kang Woo insists on apprehending the perpetrators, but the commissioner is against it. To convince the commissioner, Kang Woo offers to resign as soon as the case is closed. Meanwhile, a member of Doctor Fabre, Kwak Dok Ki, is found dead. (Source: Viu)",3.0,3.0,2019-05-18,nan,0
2689,Operation Peter Pan: Flying Back to Cuba,nan,nan,nan,nan,nan,nan,2011-01-01,Documentary,nan,57.0,5914,nan,Robert Carricart,nan,nan,nan,nan,guestStars,0
5093,nan,Lois Collier,nan,nan,1999-01-01,1919-01-01,nan,nan,nan,"actress,soundtrack",nan,505,Episode 6,nan,nan,6.0,2.0,1998-12-18,nan,0
917,Episode #11,nan,6.0,1.0,nan,nan,nan,1995-01-01,"Action,Adventure,Animation",nan,12.0,6018,nan,Simon Oakland,nan,nan,nan,nan,guestStars,0
905,nan,Steve Cochran,nan,nan,1965-01-01,1917-01-01,nan,nan,nan,"actor,director,writer",nan,4226,nan,Alexander Gaberman,nan,nan,nan,nan,guestStars,0
3527,nan,Christopher Sabat,nan,nan,nan,1973-01-01,nan,nan,nan,"actor,producer,miscellaneous",nan,2363,nan,Tila Tequila,nan,nan,nan,nan,guestStars,0
138,A Bride for the Captain,nan,23.0,3.0,nan,nan,nan,1962-01-01,Adventure,nan,48.0,4632,Episode 4,nan,"Everyone gets to hear Chef having sex with Lucy. The inquest is held with Danny in the dock, putting a strain on his relationship with Emma. The passion between Bernie and Father Matthew boils over.",4.0,1.0,1997-10-05,nan,0
164,nan,Susan Hampshire,nan,nan,nan,1937-01-01,nan,nan,nan,"actress,soundtrack",nan,2671,nan,Bud Townsend,nan,nan,nan,nan,director,0
4431,nan,John Hubbard,nan,nan,1988-01-01,1914-01-01,nan,nan,nan,"actor,soundtrack,miscellaneous",nan,2682,Episode 20,nan,nan,20.0,2.0,2017-09-12,nan,0
3368,nan,Elle Johnson,nan,nan,nan,nan,nan,nan,nan,"producer,writer,miscellaneous",nan,983,nan,Jeremy Saulnier,nan,nan,nan,nan,director,0
1739,Royal Partners: Part 1,nan,33.0,4.0,nan,nan,nan,1957-01-01,Drama,nan,30.0,6329,nan,Chik? Okonkwo,nan,nan,nan,nan,actor,0
2386,nan,Libbie Block,nan,nan,1972-01-01,1910-01-01,nan,nan,nan,writer,nan,2710,nan,Larry Blyden,nan,nan,nan,nan,guestStars,0
3306,nan,Rose Abdoo,nan,nan,nan,1962-01-01,nan,nan,nan,actress,nan,2785,nan,Rose Abdoo,nan,nan,nan,nan,guestStars,1
2084,nan,S.S. Schweitzer,nan,nan,2006-01-01,1925-01-01,nan,nan,nan,"writer,miscellaneous,producer",nan,370,nan,Shana Goldberg-Meehan,nan,nan,nan,nan,directors,0
1904,nan,Jo Brand,nan,nan,nan,1957-01-01,nan,nan,nan,"writer,actress,producer",nan,5547,Hyde and Go Shriek,nan,A group of bullies fear for their lives when Wendell drinks a potion that turns him into a werewolf.,9.0,1.0,1993-11-06,nan,0
1110,nan,Mariya Zvereva,nan,nan,nan,nan,nan,nan,nan,writer,nan,1659,nan,David Schurmann,nan,nan,nan,nan,actor,0
4420,One Little Pearl,nan,8.0,2.0,nan,nan,nan,1960-01-01,Adventure,nan,60.0,238,nan,Jun Ki Sang,nan,nan,nan,nan,director,0
330,nan,Sidney Morse,nan,nan,2003-01-01,1920-01-01,nan,nan,nan,"writer,miscellaneous,producer",nan,3352,nan,Carrie Aizley,nan,nan,nan,nan,guestStars,0
2198,"On Your Honor, Your Honor",nan,8.0,2.0,nan,nan,nan,1954-01-01,Drama,nan,30.0,254,nan,Richard Branson,nan,nan,nan,nan,guestStars,0
1216,Stakeout,nan,15.0,4.0,nan,nan,nan,1996-01-01,"Crime,Drama,Mystery",nan,nan,6185,nan,Rachel True,nan,nan,nan,nan,guestStars,0
2944,nan,Sze Kei Lee,nan,nan,nan,1950-01-01,nan,nan,nan,actress,nan,3423,nan,Brian Tarantia,nan,nan,nan,nan,guestStars,0
1521,nan,Mary Emma Watson,nan,nan,nan,nan,nan,nan,nan,actress,nan,3642,nan,Hwang Sang-kyung,nan,nan,nan,nan,guestStars,0
1504,nan,Iwan Rheon,nan,nan,nan,1985-01-01,nan,nan,nan,actor,nan,3140,nan,Iwan Rheon,nan,nan,nan,nan,actor,1
525,nan,Bill Tennant,nan,nan,2012-01-01,1941-01-01,nan,nan,nan,"actor,producer,writer",nan,449,It's for You,nan,"'For Christmas, Gary recieves a phone line for his bedroom with the proviso that he doesn't ''''abuse the privilege.''''  Naturally, Gary immediately begins making prank calls, but he soon finds the tables turned when one of the people he called begins stalking him via telephone.  Gary pays the caller a visit and discovers Mrs. Emma Needham, an old lady who soon proves that she's not as nice she initially appeared...",11.0,3.0,1999-11-18,nan,0
679,nan,Manny Coto,nan,nan,nan,nan,nan,nan,nan,"producer,writer,miscellaneous",nan,7166,nan,Manny Coto,nan,nan,nan,nan,writers,1
1485,nan,John Kerry,nan,nan,nan,1943-01-01,nan,nan,nan,"actor,camera_department,miscellaneous",nan,7661,nan,Mary Jefferson,nan,nan,nan,nan,guestStars,0
2801,nan,Robert Mintz,nan,nan,nan,nan,nan,nan,nan,"editorial_department,producer,miscellaneous",nan,1817,nan,Robert Mintz,nan,nan,nan,nan,writers,1
3841,Die f?nfte Kolonne,nan,nan,nan,nan,nan,1968-01-01,1963-01-01,Drama,nan,60.0,783,nan,Bianca Kronl?f,nan,nan,nan,nan,guestStars,0
4027,nan,Herman Epstein,nan,nan,nan,nan,nan,nan,nan,writer,nan,2739,nan,Herman Epstein,nan,nan,nan,nan,writers,1
4646,nan,David Deveau,nan,nan,nan,1984-01-01,nan,nan,nan,"actor,writer",nan,1495,nan,Nina Hellman,nan,nan,nan,nan,guestStars,0
2014,nan,Vanessa Brown,nan,nan,1999-01-01,1928-01-01,nan,nan,nan,actress,nan,2190,nan,nan,nan,7.0,1.0,2016-12-11,nan,0
4662,nan,Maria Contreras,nan,nan,nan,nan,nan,nan,nan,actress,nan,4148,nan,Jeffrey Wright,nan,nan,nan,nan,guestStars,0
295,The Reluctant Hero,nan,2.0,3.0,nan,nan,nan,1961-01-01,Adventure,nan,60.0,4965,"You Only Live Once, YOLO!",nan,"Seeing the great view of Victoria Falls, the four young actors recall their memories for the last 11 days in Africa and they become emotional. They go rafting on the Zambezi River and enjoy one of the most thrilling experiences in their lives. Jun Yeol and Bo Gum move to do a bungee jump while the others give up.",6.0,4.0,2016-03-25,nan,0
1890,The Happy Widow,nan,10.0,6.0,nan,nan,nan,1958-01-01,Drama,nan,30.0,3735,nan,Jim True-Frost,nan,nan,nan,nan,guestStars,0
1163,nan,Travis Estes,nan,nan,nan,nan,nan,nan,nan,"actor,composer",nan,2834,nan,Sally Lindsay,nan,nan,nan,nan,actor,0
1754,nan,Anthony Sydes,nan,nan,2015-01-01,1941-01-01,nan,nan,nan,"actor,soundtrack",nan,6718,nan,Paul Haddad,nan,nan,nan,nan,guestStars,0
4810,nan,Conrad Janis,nan,nan,nan,1928-01-01,nan,nan,nan,"actor,director,producer",nan,3256,nan,Kevin Conroy,nan,nan,nan,nan,guestStars,0
2271,nan,Yuka Iguchi,nan,nan,nan,nan,nan,nan,nan,"actress,soundtrack",nan,2315,nan,Yuka Iguchi,nan,nan,nan,nan,actor,1
4268,Sludge Cleaner,nan,6.0,1.0,nan,nan,nan,2005-01-01,Reality-TV,nan,43.0,2613,nan,Robert Aldrich,nan,nan,nan,nan,directors,0
3409,nan,Marcello Novaes,nan,nan,nan,1962-01-01,nan,nan,nan,actor,nan,3272,Tag Sale - You're It!,nan,"Always short on cash, Dr. Venture decides to unload some of his father's old scientific equipment in a huge yard sale that attracts fellow scientists and super-villains alike. Everyone is supposed to be on their best behavior, but The Monarch can't resist the temptation to wreak havoc once he finds himself inside the 'belly of the beast'...nor can he find a bathroom.",10.0,1.0,2004-10-09,nan,0
1013,nan,Daniel Grao,nan,nan,nan,1976-01-01,nan,nan,nan,actor,nan,2313,Divided Loyalties,nan,"Rachel discovers Nick has been brutally assaulted - and she is top of the list of suspects. But even worse, she has no recollection of the previous night after a drunken hen party, and struggles to convince herself she did not do it. Janet thinks she has made her peace with Andy, until he gives her some misinformation that results in Gill missing an appointment with the coroner - so the DCI, tired of their games, announces one of them will have to go. A man's accidental death turns into a murder investigation when his daughters reveal their mother often talked of killing him",8.0,2.0,2012-04-30,nan,0
2201,nan,August Schellenberg,nan,nan,2013-01-01,1936-01-01,nan,nan,nan,actor,nan,1134,nan,August Schellenberg,nan,nan,nan,nan,guestStars,1
1455,nan,Karl John,nan,nan,1977-01-01,1905-01-01,nan,nan,nan,"actor,director,production_designer",nan,2231,nan,Jeremy Bronson,nan,nan,nan,nan,writers,0
1300,nan,John Allen,nan,nan,nan,nan,nan,nan,nan,actor,nan,1612,nan,Paul Giamatti,nan,nan,nan,nan,guestStars,0
2755,nan,Lurene Tuttle,nan,nan,1986-01-01,1907-01-01,nan,nan,nan,actress,nan,7717,nan,nan,nan,1.0,1.0,1972-02-06,nan,0
4506,nan,Sandy Descher,nan,nan,nan,1945-01-01,nan,nan,nan,"actress,soundtrack",nan,304,Gourd Maker,nan,Mike Rowe cleans out a Connecticut lake and then turns gourds into artwork in Pennsylvania.,25.0,4.0,2008-12-09,nan,0
1393,Strange Money,nan,11.0,6.0,nan,nan,nan,1958-01-01,Drama,nan,30.0,6017,Presenting document American – The Bill Hicks Story,nan,nan,67.0,0.0,2014-10-08,nan,0
2292,nan,Barry J. Kelly,nan,nan,nan,nan,nan,nan,nan,"editor,director,animation_department",nan,4868,"Chaucer, 1300-1400",nan,"The Canterbury Tales showcases Chaucer's wit and brilliant characterizations. Featured performers: Gary Watson, Brian Coburn, Nicholas Gecks, Gerrard McArthur, and Ian Richardson.",3.0,1.0,1984-05-16,nan,0
4764,nan,Herbert Taschner,nan,nan,1994-01-01,1926-01-01,nan,nan,nan,"editor,assistant_director,sound_department",nan,5571,nan,Paul Nicholas,nan,nan,nan,nan,guestStars,0
51,nan,George W. George,nan,nan,2007-01-01,1920-01-01,nan,nan,nan,"writer,producer,miscellaneous",nan,4476,Episode 7,nan,"A live TV broadcast announcing the new peace accord between the UK, US and Iran is hijacked by armed gunmen. Can Adam and Ros defuse the situation before someone's hurt? ",7.0,6.0,2007-11-27,nan,0
181,nan,Wright King,nan,nan,2018-01-01,1923-01-01,nan,nan,nan,actor,nan,6386,nan,Raven Goodwin,nan,nan,nan,nan,actor,0
4565,Lies and Other Truths,nan,14.0,6.0,nan,nan,nan,1998-01-01,"Crime,Drama,Mystery",nan,nan,2496,Dorothy Stratten,nan,The murder of Dorothy Stratten and her husband is spotlighted.,4.0,1.0,2016-10-01,nan,0
1011,nan,Hal Baylor,nan,nan,1998-01-01,1918-01-01,nan,nan,nan,actor,nan,140,"Wordsworth, 1770-1850",nan,Nature and human nature in William Wordsworth. Featured performer: Julian Glover.,10.0,1.0,1984-10-28,nan,0
3294,Gold-Plated Maverick,nan,14.0,1.0,nan,nan,nan,1963-01-01,"Drama,Sport,Western",nan,60.0,283,nan,Robert Florey,nan,nan,nan,nan,director,0
4860,nan,Mary Jo Randle,nan,nan,nan,1954-01-01,nan,nan,nan,actress,nan,1817,nan,Robert Mintz,nan,nan,nan,nan,writers,0
4554,nan,Christopher Hinton,nan,nan,nan,1952-01-01,nan,nan,nan,"animation_department,director,miscellaneous",nan,1814,nan,Mads Br?gger,nan,nan,nan,nan,director,0
604,"Heads, You Lose",nan,27.0,1.0,nan,nan,nan,1960-01-01,Adventure,nan,60.0,4645,Heads You Lose,nan,nan,27.0,1.0,1960-04-18,nan,1
442,nan,R. Wright Campbell,nan,nan,2000-01-01,1927-01-01,nan,nan,nan,"writer,actor",nan,2091,So Very Attractive,nan,"Julia, obsessed with the idea of being more beautiful, puts on a miracle cream that fulfills her wish but causes her to attract the unwanted attention of all sorts of creatures.",7.0,3.0,1999-10-21,nan,0
5055,nan,Askin Arsunan,nan,nan,nan,nan,nan,nan,nan,composer,nan,6436,About Freedom of Speech: The Red Chapel,nan,nan,2.0,3.0,2015-09-16,nan,0
4576,nan,Kenichi Suzumura,nan,nan,nan,1974-01-01,nan,nan,nan,"actor,soundtrack,music_department",nan,7290,nan,Vikram Gandhi.,nan,nan,nan,nan,directors,0
4432,The Girl Scout Story,nan,9.0,2.0,nan,nan,nan,1954-01-01,Drama,nan,30.0,58,Episode 22,nan,nan,22.0,2.0,2017-09-13,nan,0
476,Schattenspiel,nan,1.0,2.0,nan,nan,nan,1964-01-01,Drama,nan,59.0,1462,nan,Gene Oswald,nan,nan,nan,nan,director,0
2341,The Hijackers,nan,4.0,1.0,nan,nan,nan,1962-01-01,Adventure,nan,nan,7512,Green Porno,nan,A series of very short films inspired by the amazing and often bizarre sexual practices of insects and other creatures.,nan,nan,nan,nan,0
258,nan,James Pritchett,nan,nan,2011-01-01,1922-01-01,nan,nan,nan,"actor,soundtrack",nan,481,nan,nan,nan,5.0,3.0,1965-08-31,nan,0
4777,nan,Johanna Westman,nan,nan,nan,1969-01-01,nan,nan,nan,"actress,director,writer",nan,6423,nan,Marty Lodge,nan,nan,nan,nan,guestStars,0
2871,nan,Mark Dana,nan,nan,2015-01-01,1920-01-01,nan,nan,nan,actor,nan,2320,nan,Connie Jackson,nan,nan,nan,nan,guestStars,0
4979,nan,Carmen Ejogo,nan,nan,nan,1973-01-01,nan,nan,nan,"actress,soundtrack",nan,6371,nan,Carmen Ejogo,nan,nan,nan,nan,actor,1
341,Nightmare in the Sun,nan,35.0,2.0,nan,nan,nan,1961-01-01,Adventure,nan,60.0,4870,Nightmare in the Sun,nan,"After a long absence, Barbara Lyons is returning to the island home of her father.",35.0,2.0,1961-06-19,nan,1
2919,nan,Cathleen Nesbitt,nan,nan,1982-01-01,1888-01-01,nan,nan,nan,actress,nan,2064,C-E-- CELEBRITY S-U-- SUITE,nan,"When the DiMeos land in the hospital on Thanksgiving, Maya’s determination to save the holiday leads to an uneasy truce with her rival, Melanie Hertzal; and Jimmy gets jealous when Kenneth bonds with his brother, Billy. Meanwhile, wounds from an old breakup are re-opened, but Ray finds brand-new love in an unlikely place",6.0,3.0,2018-11-16,nan,0
2720,nan,Johann Ben?t,nan,nan,nan,nan,nan,nan,nan,"actor,make_up_department,music_department",nan,1312,nan,Tory Kittles,nan,nan,nan,nan,actor,0
4642,nan,Adam F. Goldberg,nan,nan,nan,1976-01-01,nan,nan,nan,"producer,writer,actor",nan,424,nan,Mandy Patinkin,nan,nan,nan,nan,guestStars,0
1402,nan,Tom Drake,nan,nan,1982-01-01,1918-01-01,nan,nan,nan,"actor,soundtrack",nan,5064,nan,Yasmine Hill,nan,nan,nan,nan,guestStars,0
582,Door to Death,nan,8.0,1.0,nan,nan,nan,2001-01-01,"Action,Drama,Mystery",nan,nan,5368,Door to Death,nan,"Wolfe needs a new orchid man, and goes on an adventure to find him. Only to find a murder scene at his destination and no way of retrieving the horticulturalist without first solving the mystery.",9.0,1.0,2001-06-04,nan,1
