tableA_id,tableA_title,tableA_authors,tableA_venue,tableA_year,tableB_id,tableB_title,tableB_authors,tableB_venue,tableB_year,label
2294,"Using Taxonomy, Discriminants, and Signatures for Navigating in Text Databases","Byron Dom, Rakesh Agrawal, Prabhakar Raghavan, Soumen Chakrabarti",VLDB,1997,21682,"Voronkov A.[1998], Complexity of nonrecursive logic programs with complex values, in ????¬ PODS????¬",S Vorobyov,"ACM Press, Seattle,",nan,0
1843,Rights Protection for Relational Data,"Sunil Prabhakar, Radu Sion, Mikhail J. Atallah",SIGMOD Conference,2003,54078,Textbook Theme Studies.,LM Handley??¦,"Social Studies and the Young Learner,",1989.0,0
1478,Innovation in Database Management: Computer Science vs. Engineering,Kenneth R. Jacobs,VLDB,1997,18843,"Identity, predication and connectivity in pseudoclefts","C Heycock, A Kroch","19th GLOW Colloquium, Athens, Greece, April,",nan,0
1965,Interview with Michael Stonebraker,Marianne Winslett,SIGMOD Record,2003,25308,The Neighborhood Jobs Initiative: an early report on the vision and challenges of bringing an,"F Molina, LC Nelson",2001,nan,0
1608,Multi-dimensional Selectivity Estimation Using Compressed Histogram Information,"Deok-Hwan Kim, Ju-Hong Lee, Chin-Wan Chung",SIGMOD Conference,1999,46059,"Antisymmetry, pseudospectral methods, and conservative PDEs","RI McLachlan, N Robidoux",nan,nan,0
2440,Microsoft Site Server (Commerce Edition),Bassel Ojjeh,SIGMOD Conference,1999,30953,On Local Minima and Random Search in Robot Motion Planning,"X Zhu, K Gupta","Unpublished Manuscript,",nan,0
2120,To Weave the Web,"Paolo Merialdo, Giansalvatore Mecca, Paolo Atzeni",VLDB,1997,52440,Dynamics of exploited pandalid shrimps and an evaluation of management models,WW Fox,1972,nan,0
2380,Metrics for Accessing Heterogeneous Data: Is There Any Hope? (Panel),"Michael Stonebraker, Nicholas J. Belkin, Gio Wiederhold, Erich J. Neuhold, Leonard J. Seligman",VLDB,1995,50610,Inside MAPI,"ID la Cruz, L Thaler",1996,nan,0
514,Provisions and Obligations in Policy Management and Security Applications,"Xiaoyang Sean Wang, Duminda Wijesekera, Claudio Bettini, Sushil Jajodia",VLDB,2002,50601,Provisions and Obligations in Policy Rule Management and Security Applications,"C Bettini, S Jajodia, XS Wang, D Wijesekera",Proceedings of the 28th International Conference on Very,nan,1
102,Implementing Data Cubes Efficiently,"Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan",SIGMOD Conference,1996,33571,Hydration of Portland Cement,"LE Copeland, DL Kantro","Proc. Int. Symp. Chem. Cem,",nan,0
1885,Clio: A Semi-Automatic Tool For Schema Mapping,"Laura M. Haas, Ren?e J. Miller, Mauricio A. Hern?ndez",SIGMOD Conference,2001,20464,Zur Nahrungswahl der Gartengrasm??cke Sylvia borin: Ein Beitrag zur Bedeutung der Frugivorie bei,F Bairlein,"Proc. Int,",nan,0
1225,A new approach to developing and implementing eager database replication protocols,"Gustavo Alonso, Bettina Kemme",ACM Trans. Database Syst.,2000,38226,Object-oriented modeling for hypermediasystemsusingthevodakmodelinglanguage (vml),"W Klas, K Aberer, EJ Neuhold","InA. Dogac, T. Ozsu, A. Biliris, and T. Sellis, editors,  &hellip;,",nan,0
2464,Privacy-Enhanced Data Management for Next-Generation e-Commerce,"Irini Fundulaki, Daniel F. Lieuwen, Bharat Kumar, Richard Hull, Chris Clifton, Arnaud Sahuguet",VLDB,2003,53960,Bayesian tree-structured image modeling using wavelet-domain hidden Markov model,"JK Romberg, H Choi, R Baraniuk","Proc. SPIE,",1999.0,0
325,Outlier Detection for High Dimensional Data,"Charu C. Aggarwal, Philip S. Yu",SIGMOD Conference,2001,53065,Outlier Detection for High Dimensional Data,"CC Aggarwal, PS Yu",nan,nan,1
798,Report on the 18th British National Conference on Databases (BNCOD),"Carole A. Goble, Brian J. Read",SIGMOD Record,2002,52999,"A Framework for Research in Database Management for Statistical Analysis,&quot;",D Dewitt??¦,"Proc. 1982 SIGMOD International Conference on Management of  &hellip;,",nan,0
1737,Practical Applications of Triggers and Constraints: Success and Lingering Issues (10-Year Award),"Jennifer Widom, Stefano Ceri, Roberta Cochrane",VLDB,2000,15169,"F., W. Su, Y. Sankarasubramaniam and E. ??ay?±rc?±,???Wireless Sensor Networks: A Survey,???",?° Aky?±ld?±z,Computer,nan,0
2332,Efficient View Maintenance at Data Warehouses,"Tolga Yurek, Divyakant Agrawal, Amr El Abbadi, Ambuj K. Singh",SIGMOD Conference,1997,38081,The Principles of Nonlinear Optics,YR Shen,1984,nan,0
1228,The Role of B2B Engines in B2B Integration Architectures,Christoph Bussler,SIGMOD Record,2002,46893,Chemoarchitecture of the brain,R Nieuwenhuys,1985,nan,0
2007,Sybase Replication Server,"Mark Deppe, Yongdong Wang, Alex Gorelik",SIGMOD Conference,1994,22323,Women in Engineering Program Advocates Network (WEPAN) Conference,LE Schumaker,"Seattle, Washington, June,",nan,0
2411,Parallel Mining Algorithms for Generalized Association Rules with Classification Hierarchy,"Masaru Kitsuregawa, Takahiko Shintani",SIGMOD Conference,1998,22747,Particle flux across the mid-European continental margin,"AN Antia, B von Bodungen, R Peinert","Deep-Sea Research I,",1999.0,0
1972,Repeating History Beyond ARIES,C. Mohan,VLDB,1999,59391,Membrane-bound Ca 2+ distribution visualized by chlorotetracycline fluorescence during morphogenesis,"M Raineri, P Modenesi","The Histochemical Journal,",1988.0,0
674,Delivering Presentations from Multimedia Servers,"Nevzat Hurkan Balkir, Gultekin ?zsoyoglu",VLDB J.,1998,3086,Class notes for course 6.574,R Fano,"Technical report, Massachusetts Institute of Technology,",nan,0
1394,Effective Change Detection Using Sampling,"Alexandros Ntoulas, Junghoo Cho",VLDB,2002,45619,Adverse reactions to diphenylhydantoin,"M Burger, C Ciganda, A Crosi","Proceedings of the 25 thAnnual Meeting of the WHO Programme  &hellip;,",nan,0
183,Design and Development of a Stream Service in a Heterogenous Client Environment,"Stavros Christodoulakis, Nikos Pappas",VLDB,2000,53570,An Introduction to Electronic Commerce,"SGE Garrett, PJ Skevington","BT Technology Journal,",1999.0,0
892,An Extensible Compressor for XML Data,"Dan Suciu, Hartmut Liefke",SIGMOD Record,2000,50979,G. Gibson. A case for redundant arrays of inexpensive disks,"D Patterson, R Katz","SIGMOD Record,",nan,0
1282,Issues in data stream management,"Lukasz Golab, M. Tamer ?zsu",SIGMOD Record,2003,48541,Datawarehousing has more colours than just black and white,"T Zurek, M Sinnwell","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1999.0,0
2161,Distributed Top-N Query Processing with Possibly Uncooperative Local Systems,"Clement T. Yu, Weiyi Meng, George Philip",VLDB,2003,4682,Improved fine structure in immunolabeled cryosections after modifying the sectioning and pick-up,"W Liou, JW Slot","Proc. Int. Conf. Electr. Microsc,",nan,0
1257,Accessing a Relational Database through an Object-Oriented Database Interface,"Jack A. Orenstein, D. N. Kamber",VLDB,1995,18664,Accessing a Relational Database through an Object-Oriented Database Interface,J Orenstein,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,1
1017,Cost-Based Optimization of Decision Support Queries Using Transient Views,"Shivakumar Venkataraman, Subbu N. Subramanian",SIGMOD Conference,1998,40737,Script-free Authoring in MediaDesc,"A Caloini, D Taguchi, E Tanaka, K Yanoo","Proceedings of ACM Multimedia,",nan,0
652,Model and Verification of a Data Manager Based on ARIES,Dean Kuo,ACM Trans. Database Syst.,1996,18344,"???Scheduling policies for an on-demand video server with Batching,???","A Dean, D Sitaram, P Shahabuddin",Proc. ACM Multimedia,nan,0
1011,Managing a DB2 Parallel Edition Database,Gilles Fecteau,VLDB,1995,7281,Managing a DB2 Parallel Edition Database,G Fecteau,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,1
1145,Relational Databases for Querying XML Documents: Limitations and Opportunities,"Jeffrey F. Naughton, Kristin Tufte, Chun Zhang, Gang He, David J. DeWitt, Jayavel Shanmugasundaram",VLDB,1999,2131,Dietary marine fatty acids (fish oil) for asthma in adults and children,"RK Woods, FC Thien, MJ Abramson","Cochrane Database Syst Rev,",2003.0,0
485,ObjectGlobe: Ubiquitous query processing on the Internet,"Stefan Seltzsam, Donald Kossmann, Markus Keidl, Reinhard Braumandl, Alexander Kreutz, Konrad Stocker, Alfons Kemper",VLDB J.,2001,60172,Industrial implementation of risk based inspection planning methods???lessons learnt from experience,"J Goyet, A Rouhan, MH Faber","Proceedings of the 23rd Offshore Mechanics and Arctic  &hellip;,",nan,0
371,Dynamic Load Balancing in Hierarchical Parallel Database Systems,"Luc Bouganim, Daniela Florescu, Patrick Valduriez",VLDB,1996,47440,String-rewriting systems,"RV Book, F Otto",1993,nan,0
1663,Optimal Histograms with Quality Guarantees,"S. Muthukrishnan, H. V. Jagadish, Kenneth C. Sevcik, Torsten Suel, Nick Koudas, Viswanath Poosala",VLDB,1998,39968,Towards a formulation and definition of data reorganization,"JP Fry, DW Jeris","Proceedings of the 1974 ACM SIGFIDET (now SIGMOD) workshop  &hellip;,",1974.0,0
1220,Cache Invalidation Scheme for Mobile Computing Systems with Real-time Data,"Hei-Wing Leung, Joe Chun-Hung Yuen, Edward Chan, Kam-yiu Lam",SIGMOD Record,2000,30215,Cache Invalidation Scheme for Mobile Computing Systems with Real-time Data,"JCH Yuen, E Chan, HW Leung","SIGMOD Record,",2000.0,1
1665,Fault-tolerant Architectures for Continuous Media Servers,"Abraham Silberschatz, Rajeev Rastogi, Banu ?zden, Prashant J. Shenoy",SIGMOD Conference,1996,6338,Assortative mating in genetic algorithms for vector quantization problems,"C Fernandes, R Tavares, C Munteanu, A Rosa","Proc. ACM SAC,",nan,0
1042,Joining Ranked Inputs in Practice,"Walid G. Aref, Ihab F. Ilyas, Ahmed K. Elmagarmid",VLDB,2002,36859,Aggregation Algorithms for Very Large Compressed Data Warehouses,J Li,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1999.0,0
1437,Providing Dynamic Security Control in a Federated Database,"R. F. Churchhouse, W. A. Gray, N. B. Idris",VLDB,1994,31077,Lower bounds on multiple-source direction finding in the presence of direction-dependent antenna-,ARK Km891,"Technical Report, MIT Lincoln Laboratory, Lexington,",1991.0,0
178,Ensuring Relaxed Atomicity for Flexible Transactions in Multidatabase Systems,"Bharat K. Bhargava, Aidong Zhang, Marian H. Nodine, Omran A. Bukhres",SIGMOD Conference,1994,3234,End of IS budgets as we know them,ML Sullivan-Trainor,"Computerworld,",nan,0
1785,A Raster Approximation For Processing of Spatial Joins,"Jano Moreira de Souza, Geraldo Zimbrao",VLDB,1998,43024,The Benefits of Consortium Participation.,"WM Klepper, MMG Stodt","New Directions for Higher Education,",1987.0,0
591,Comparing Hybrid Peer-to-Peer Systems,"Beverly Yang, Hector Garcia-Molina",VLDB,2001,51637,Enabling knowledge representation on the Web by extending RDF Schema,"J Broekstra, MCA Klein, S Decker, D Fensel, I","Computer Networks,",2002.0,0
2078,Implementing Crash Recovery in QuickStore: A Performance Study,"Seth J. White, David J. DeWitt",SIGMOD Conference,1995,49088,A Stochastic Approach to Content Adaptive Digital Image Watermarking,"S Voloshynovskiy, A Herrigel, N Baumgaertner, T","LECTURE NOTES IN COMPUTER SCIENCE,",2000.0,0
1644,SIGMOD 2001 Industry Sessions,"C?sar A. Galindo-Legaria, Michael J. Franklin, Leonard J. Seligman, Guy M. Lohman",SIGMOD Record,2001,18557,Recent Developments in Estimating Polychlorinated Biphenyl(PCB) Losses from Confined Disposal,"TE Myers, JA Miller, FL Snitz","Water Quality 88: Seminar Proceedings. February 23-25 1988,  &hellip;,",1988.0,0
1044,"Database Research at the Indian Institute of Technology, Bombay","S. Seshadri, Nandlal L. Sarda, D. B. Phatak, S. Sudarshan",SIGMOD Record,1996,29592,"Database Research at the Indian Institute of Technology, Bombay","DB Phatak, NL Sarda, S Seshadri, S Sudarshan","SIGMOD Record,",1996.0,1
809,Broadcast Disks: Data Management for Asymmetric Communications Environments,"Michael J. Franklin, Stanley B. Zdonik, Swarup Acharya, Rafael Alonso",SIGMOD Conference,1995,41902,A methodology to analyze model risk with an application to discount bond options in a Heath-Jarrow-,"M BOSSY, R GIBSON, FS LHABITANT, N PISTRE, D TALAY","Submitted for publication,",nan,0
1743,Querying Heterogeneous Information Sources Using Source Descriptions,"Anand Rajaraman, Alon Y. Levy, Joann J. Ordille",VLDB,1996,6343,Curvature of the Probability Weighting Function,"G Wu, R Gonzalez","Management Science,",1996.0,0
2264,HyperStorM - Administering Structured Documents Using Object-Oriented Database Technology,"Karl Aberer, Klemens B?hm",SIGMOD Conference,1996,27744,Classifying Images of Materials: Achieving Viewpoint and Illumination Independence,"M Varma, A Zisserman","LECTURE NOTES IN COMPUTER SCIENCE,",2002.0,0
439,XML-Based Information Mediation with MIX,"Yannis Papakonstantinou, Richard Marciano, Chaitanya K. Baru, Pavel Velikhov, Vincent Chu, Amarnath Gupta, Bertram Lud?scher",SIGMOD Conference,1999,44433,Finding similar identities among objects from multiple web sources,"JCP Carvalho, AS da Silva",Proceedings of the Fifth International Workshop on Web,nan,0
405,Securing XML Documents: the Author-X Project Demonstration,"Elisa Bertino, Elena Ferrari, Silvana Castano",SIGMOD Conference,2001,49751,Edge-to-edge measurement-based distributed network monitoring,"A Habib, M Khan, B Bhargava","Computer Networks,",2004.0,0
257,Cumulative Updates,"Beat W?thrich, Suryanarayana M. Sripada",VLDB,1994,55023,toy GLtRobsonMC,SP Heggers,"Histok&#39;gical demonstration of pmstaglandins arm thromboxanes &hellip;,",nan,0
2371,"Enterprise Objects Framework, A Second Generation Object-Relational Enabler",Charly Kleissner,SIGMOD Conference,1995,29433,is Considered,"D Lomet, BPSW Caching","SIGMOD Record,",nan,0
868,Methodology for Development and Employment of Ontology Based Knowledge Management Applications,"Steffen Staab, Rudi Studer, York Sure",SIGMOD Record,2002,48878,On the Importance of Checking Cryptographic Protocols for Faults,"D Boneh, RA Demillo, RJ Lipton","LECTURE NOTES IN COMPUTER SCIENCE,",1997.0,0
2427,Towards a Cooperative Transaction Model - The Cooperative Activity Model,"Thomas Tesch, Peter Muth, Wolfgang Klas, Marek Rusinkiewicz, J?rgen W?sch",VLDB,1995,7459,How to referee a research paper,D Giord,1982,nan,0
1366,Access to Objects by Path Expressions and Rules,"J?rgen Frohn, Georg Lausen, Heinz Uphoff",VLDB,1994,32455,"T, Johnson, and S. Chakrararthy,???Real-time transaction: a cost conscious approach,???",D Hong,Proc. ACM,nan,0
2300,Balancing Histogram Optimality and Practicality for Query Result Size Estimation,"Yannis E. Ioannidis, Viswanath Poosala",SIGMOD Conference,1995,56253,Optimal foraging in a nonmarginal environment: a model of prehistoric subsistence strategies in,A Keene,"See Ref,",nan,0
1782,Loading Databases Using Dataflow Parallelism,"Prakash Sundaresan, Jim Gray, Robert Barnes, Tom Barclay",SIGMOD Record,1994,57412,A Genetic Agent-Based Negotiation System,"PM Samuel, CJ Liu, SP Chan","Computer Networks,",nan,0
2332,Efficient View Maintenance at Data Warehouses,"Tolga Yurek, Divyakant Agrawal, Amr El Abbadi, Ambuj K. Singh",SIGMOD Conference,1997,1813,Efficient Data View Maintenance Warehouses,"D Agrawal, A El Abbadi, A Singh, T Yurek","Proc. ACM SIGMOD,",nan,1
1084,A Probabilistic Relational Model and Algebra,"Debabrata Dey, Sumit Sarkar",ACM Trans. Database Syst.,1996,48122,Fault diagnosis of analog circuits,"JW BANDLER, AE SALAMA","IEEE, Proceedings,",1985.0,0
1825,Semantic B2B Integration,Christoph Bussler,SIGMOD Conference,2001,6205,Achttausender,"R Messner, A ??berlebt",nan,nan,0
131,Query Optimization by Predicate Move-Around,"Inderpal Singh Mumick, Alon Y. Levy, Yehoshua Sagiv",VLDB,1994,7377,Database Systems: Achievements and Opportunities Into the 21st Century,"A Silberschatz, M Stonebraker, J Ullman","SIGMOD Record,",nan,0
575,Fast Joins Using Join Indices,"Kenneth A. Ross, Zhe Li",VLDB J.,1999,20609,DOMINO: Databases fOr MovINg Objects tracking,"OWP Sistla, BXJZS Chamberlain",nan,nan,0
2338,Holistic twig joins: optimal XML pattern matching,"Divesh Srivastava, Nick Koudas, Nicolas Bruno",SIGMOD Conference,2002,30007,Beating the clock,DB Davis,"Electronic Business,",nan,0
1122,Foreword: Management of Semistructured Data,Dan Suciu,SIGMOD Record,1997,37438,Welcome To The Department Of Statistics,UWM Home,2004,nan,0
1484,Efficient Index Structures for String Databases,"Tamer Kahveci, Ambuj K. Singh",VLDB,2001,28828,25% of all Web spending goes for intranets,S Machlis,nan,nan,0
1647,The InfoSleuth Project,"Marek Rusinkiewicz, Tomasz Ksiezyk, Richard S. Brice, Ray Shea, Vipul Kashyap, Andrzej Cichocki, Mosfeq Rashid, C. Unnikrishnan, Abdelsalam Helal, Amy Unruh, Marian H. Nodine, Jerry Fowler, Darrell Woelk, Gale Martin, Roberto J. Bayardo Jr., William Bohrer",SIGMOD Conference,1997,49939,A DBMS Approach to Recursion,A Rosenthal??¦,Proc. 1986 A CM-SIGMOD Intl Conf. on Management of,nan,0
1540,Efficient Concurrency Control in Multidimensional Access Methods,"Sharad Mehrotra, Kaushik Chakrabarti",SIGMOD Conference,1999,48753,Head-neck response in frontal flexion,"J Wismans, CH Spenny","Proc. 28th Stapp Car Crash Conference,",nan,0
200,Editor's Notes,Michael J. Franklin,SIGMOD Record,2000,60081,A memory model for real-time commonsense reasoning,"J Drapkin, M Miller, D Perlis","Submitted for publication,",nan,0
2035,A Performance Study of Transitive Closure Algorithms,"Raghu Ramakrishnan, Shaul Dar",SIGMOD Conference,1994,35974,Comment on&quot; Pallas and the Centaur&quot;.,L Fabbrizzi,"Acc Chem Res,",2005.0,0
681,A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP,"Yang-Sae Moon, Young-Koo Lee, Il-Yeol Song, Kyu-Young Whang",VLDB,2002,54099,A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP.,"YK Lee, KY Whang, YS Moon, IY Song","VLDB,",2002.0,1
896,From Data Independence to Knowledge Independence: An on-going Story,Laurent Vieille,VLDB,1998,37630,Computational Complexity of Probabilistic Disambiguation by means of Tree Grammars,K Sima'an,"Proceedings COLING,",1996.0,0
1080,An Annotated Bibliography on Real-Time Database Systems,?zg?r Ulusoy,SIGMOD Record,1995,14449,Guest Editorial,RC Holte,"Machine Learning,",2001.0,0
2187,WaveCluster: A Multi-Resolution Clustering Approach for Very Large Spatial Databases,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",VLDB,1998,8981,Designing DBMS support for the temporal dimension,"VL LDEGPWWW, P Dadam, R Erbe, J Guenauer, P Pistor","Proceedings of the 1984 ACM SIGMOD international conference  &hellip;,",nan,0
214,Efficient Approximation Of Optimization Queries Under Parametric Aggregation Constraints,"Dimitrios Gunopulos, Nick Koudas, Divesh Srivastava, Michail Vlachos, Sudipto Guha",VLDB,2003,25215,Automatic Extraction of Structured Records From Free Text,"C Veda, S Sarawagi",nan,nan,0
3,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",VLDB,1996,22803,K. Nolan. 2002. Technical Aspects of Testing in Brash Ice at Ohmsett,"I Buist, D Dickins, D Devitis, A Guarino",Proceedings 25 thArctic and Marine Oilspill Program,nan,0
395,The REACH Active OODBMS,"Alin Deutsch, J?rgen Zimmermann, M. Higa, Alejandro P. Buchmann",SIGMOD Conference,1995,47931,"Identification of an imprinted gene, Meg3/Gtl2 and its human homologue MEG3, first mapped on mouse","N Miyoshi, H Wagatsuma, S Wakana, T Shiroishi, M","Genes to Cells,",2000.0,0
859,"Calibrating the Query Optimizer Cost Model of IRO-DB, an Object-Oriented Federated Database System","Zhao-Hui Tang, Fei Sha, Georges Gardarin",VLDB,1996,44521,Differential-geometrical methods in statistics,S Amari,1985,nan,0
952,Open Object Database Management Systems,Jos? A. Blakeley,SIGMOD Conference,1994,46541,Improving performance of TCP over wireless networks,"H Balakrishnan, R Katz, V Padmanabhan, S Seshan","Proceedings of ACM Mobicomm,",nan,0
1676,On-line Reorganization in Object Databases,"S. Sudarshan, Rajeev Rastogi, S. Seshadri, Mohana Krishna Lakhamraju",SIGMOD Conference,2000,1749,DynaMat: A Dynamic View Management System for Data Warehouses,"Y Kotidis, N Roussopoulos","SIGMOD Conference,",1999.0,0
563,Hypertext Databases and Data Mining,Soumen Chakrabarti,SIGMOD Conference,1999,52838,College Graduates: Educated but Useless?.,T Stauffer,"New Directions for Higher Education,",1979.0,0
1286,Estimating the Output Cardinality of Partial Preaggregation with a Measure of Clusteredness,"Guido Moerkotte, Thomas Neumann, Sven Helmer",VLDB,2003,26881,Hill: Weaving Relations for Cache Performance,"A Ailamaki, DJ DeWitt, D Mark","Submitted for publication, February,",nan,0
195,The National Medical Knowledge Bank,Warren Sterling,VLDB,1998,38210,The r+-tree: A dynamic index for multi-dimensional objects,"TSN Roussopoulos, C Faloutsos",Proc.,nan,0
725,"Of Crawlers, Portals, Mice and Men: Is there more to Mining the Web? (Panel)","Kyuseok Shim, Rajeev Rastogi, Minos N. Garofalakis, Sridhar Ramaswamy",SIGMOD Conference,1999,6582,Rewering aggregate queries using views,"S Cohen, W Nutt, A Serebrenik","Proc of the 18th ACM SIGACT SIGMOD SIGART Symp on Principles &hellip;,",nan,0
36,"Temporal Coalescing with Now, Granularity, and Incomplete Information",Curtis E. Dyreson,SIGMOD Conference,2003,43383,"Two closely-related left-right asymmetrically expressed genes, lefty-1 and lefty-2: their distinct","C Meno, Y Ito, Y Saijoh, Y Matsuda, K Tashiro, S","Genes to Cells,",1997.0,0
1299,DataGuides: Enabling Query Formulation and Optimization in Semistructured Databases,"Roy Goldman, Jennifer Widom",VLDB,1997,39739,"Social roles, social control, and biases in social-perception processes","L Ross, TM Amabile, JL Steinmetz","Journal of Personality and Social Psychology,",nan,0
901,Integrating Symbolic Images into a Multimedia Database System Using Classification and Abstraction Approaches,"Hanan Samet, Aya Soffer",VLDB J.,1998,31632,"Student Loans, Debt Burdens, and Choice of Major.",MD Topper,"New Directions for Higher Education,",1994.0,0
225,The Database Group at University of Hagen (FernUniversitaet),"Silke Mittrach, Gunter Schlageter, Thomas Berkel, Andreas Scherer, Eberhard Heuel, Wolfgang Wilkes",SIGMOD Record,1995,54118,Database design for incomplete relations,"M Levene, G Loizou","ACM Transactions on Database Systems,",1999.0,0
2283,Chip-Secured Data Access: Confidential Data on Untrusted Servers,"Philippe Pucheral, Luc Bouganim",VLDB,2002,31511,A methology for transforming inheritance relationships in an object-oriented conceptual model tables,"JW Raharu, E Chang, TS Dillon, D Taniar","Information and Software Technology,",nan,0
691,"Advanced Data Processing in KRISYS: Modeling Concepts, Implementation Techniques, and Client/Server Issues","Nelson Mendon?a Mattos, Joachim Thomas, Theo H?rder, Stefan De?loch, Bernhard Mitschang",VLDB J.,1998,20042,Twisted Orbifold K-Theory Preprint math,"A Adem, Y Ruan",nan,nan,0
1168,Stream Processing of XPath Queries with Predicates,"Ashish Kumar Gupta, Dan Suciu",SIGMOD Conference,2003,15702,In situ studies of spore production and dispersal in the giant kelp,"EK Anderson, WJ North","Macrocystis. Proc. Int. Seaweed. Symp,",nan,0
327,Xquec: Pushing Queries to Compressed XML Data,"Ioana Manolescu, Gianni Costa, Andrei Arion, Andrea Pugliese, Angela Bonifati, Sandra D'Aguanno",VLDB,2003,9420,Cognitive Psychology and College-Level Pedagogy: Two Siblings That Rarely Communicate,MW Matlin,"New Directions for Teaching and Learning,",2002.0,0
1373,Composing XSL Transformations with XML Publishing Views,"Chengkai Li, P. P. S. Narayan, Henry F. Korth, Philip Bohannon",SIGMOD Conference,2003,60862,Dec. 1995. Site Planning for Urban Stream Protection. Metropolitan Washington Council of Governments,TS Schueler,nan,nan,0
473,David DeWitt Speaks Out,Marianne Winslett,SIGMOD Record,2002,11125,Aspects of the ecological impact of Chondrus crispus (Florideophyceae) harvesting in eastern Canada,JD Pringle,"Proc. int. Seaweed Symp,",nan,0
2110,Fast Time Sequence Indexing for Arbitrary Lp Norms,"Christos Faloutsos, Byoung-Kee Yi",VLDB,2000,56158,3D model of the ligand binding domain of the vitamin D nuclear receptor based on the crystal,"JM Wurtz, B Guillot, D Moras","Proceedings of the 10th International Vitamin D Workshop,",nan,0
1539,Focused Crawling Using Context Graphs,"Frans Coetzee, Steve Lawrence, Michelangelo Diligenti, Marco Gori, C. Lee Giles",VLDB,2000,13496,Optimal Computation of Total Projections with Unions of Chase Join Expressions,EPF Chan,"Proceedings of ACM SIGMOD Conference,",nan,0
1091,Mining Frequent Patterns without Candidate Generation,"Jian Pei, Jiawei Han, Yiwen Yin",SIGMOD Conference,2000,55048,A Real Options Logic for Initiating Technology Positioning Investments,RG McGrath,"The Academy of Management Review,",1997.0,0
