tableA_id,tableA_name,tableA_phone_number,tableA_street,tableB_id,tableB_name,tableB_phone_number,tableB_street,label
271,nan,nan,1232 w. paces ferry rd.,1941,nan,nan,11705 national blvd.,0
71,cafe lalo,212/496-6031,nan,989,nan,nan,2011 ocean front walk,0
199,nan,nan,57 w. 58th st.,579,nan,nan,1495 chattahoochee ave. nw,0
200,hawthorne lane,415/777-9779,nan,807,bix,415/433-6300,nan,0
23,ciboulette,404/874-7600,nan,85,ciboulette restaurant,404-874-7600,nan,1
38,nan,nan,152 w. 44th st.,864,nan,nan,1350 e. flamingo rd.,0
279,indigo coastal grill,404/876-0676,nan,1870,nan,nan,1655 mclendon ave.,0
172,beverly hills,nan,nan,431,thepin,415/863-9335,nan,0
187,patina,213/467-1108,nan,1940,nicola,213/485-0927,nan,0
12,nan,nan,2880 las vegas blvd. s,1976,riviera,404-262-7112,nan,0
171,uncle nick's,212/315-1726,nan,584,nan,nan,9600 brighton way,0
307,nan,nan,21 w. 52nd st.,911,nan,nan,700 w. fifth st.,0
178,brooklyn,nan,nan,342,nan,nan,584 valencia st.,0
162,nan,nan,545 post st.,47,health food,nan,nan,0
109,masa's,415/989-7154,nan,2084,nan,nan,1305 highland ave.,0
61,matsuhisa,310/659-9639,nan,200,i trulli,212/481-7372,nan,0
326,nan,nan,1001 n. alameda st.,1172,tex-mex,nan,nan,0
15,nan,nan,160 central park s,577,first,212/674-3823,nan,0
316,restaurant  ritz-carlton  atlanta,404/659-0400,nan,1526,nan,nan,1161 1st ave.  between 63rd and 64th sts.,0
80,fleur de lys,415/673-7779,nan,2217,nan,nan,6703 melrose ave.,0
105,nan,nan,1529 piedmont ave.,1273,bistro roti,415/495-6500,nan,0
224,aqua,415/956-9662,nan,792,carey's,770-422-8042,nan,0
125,nikolai's roof,404/221-6362,nan,581,nan,nan,54 pearl st. at broad st.,0
305,ritz-carlton restaurant and dining room,415/296-7465,nan,1111,nan,nan,4427 roswell rd.,0
275,le chardonnay,213/655-8880,nan,1129,nan,nan,492 broome st.  near w. broadway,0
220,nan,nan,3000 w. paradise rd.,261,nan,nan,467 columbus ave.  between 82nd and 83rd sts.,0
91,georgia grille,404/352-3517,nan,418,cypress club,415/296-8555,nan,0
230,nan,nan,60 w. 55th st.  between 5th and 6th ave.,2201,bardelli's,415/982-0243,nan,0
143,la caravelle,212/586-4252,nan,2173,adriano's ristorante,310/475-9807,nan,0
209,nan,nan,9560 dayton way,2036,moongate,702-791-7352,nan,0
155,nan,nan,201 w. 83rd st.,2038,r.j.'s uptown kitchen & wine bar,404/875-7775,nan,0
33,delectables,404/681-2909,nan,1356,nan,nan,72 macdougal st.  between w. houston and bleecker sts.,0
246,philippe's the original,213/628-3781,nan,1687,sofia fabulous pizza,212/734-2676,nan,0
75,nan,nan,2245 e. flamingo rd.,792,carey's,770-422-8042,nan,0
289,nan,nan,2930 beverly glen circle,1576,nan,nan,1402 n. highland ave.,0
208,le bernardin,212/489-1515,nan,1190,center stage plaza hotel,702/386-2512,nan,0
254,seryna,212/980-9393,nan,1192,emerald garden restaurant,415-673-1155,nan,0
127,grill on the alley,310/276-0615,nan,326,nan,nan,4850 flamingo rd.,0
194,second avenue deli,212/677-0606,nan,1625,nan,nan,210 e. 46th st.,0
333,lespinasse,212/339-6719,nan,184,nan,nan,247 buckhead ave.  east village sq.,0
108,nan,nan,239 w. broadway  between walker and white sts.,127,pizza,nan,nan,0
205,second street grille,702/385-3232,nan,1541,second street grill,702-385-6277,nan,1
239,nan,nan,624 s. la brea ave.,1040,katsu,213-665-1891,nan,0
299,nan,nan,595 piedmont ave.  rio shopping mall,1823,harry denton's,415/882-1333,nan,0
67,nan,nan,1110 3rd ave. at 65th st.,429,diva,212/941-9024,nan,0
264,nan,nan,405 e. 58th st.,1858,pisces,212-260-6660,nan,0
92,cafe bizou,818/788-3536,nan,1040,katsu,213-665-1891,nan,0
226,nan,nan,532 columbus ave.,2089,nan,nan,1295 madison ave.,0
148,nan,nan,224 ponce de leon ave.,1254,dining room,310/275-5200,nan,0
307,nan,nan,21 w. 52nd st.,970,palm  the (los angeles),310-550-8811,nan,0
64,mary mac's tea room,404/876-1800,nan,931,nan,nan,192 peachtree center ave.  at international blvd.,0
163,nan,nan,3799 las vegas blvd. s,1448,manhattan cafe,212/888-6556,nan,0
134,chez michel,415/775-7036,nan,2078,shiro,818-799-4774,nan,0
207,santa monica,nan,nan,566,il fornaio levi's plaza,415/986-0100,nan,0
277,nan,nan,2450 broadway  between 90th and 91st sts.,1189,nan,nan,128 fremont st.,0
190,pano's and paul's,404/261-3662,nan,1310,four seasons,212-754-9494,nan,0
326,nan,nan,1001 n. alameda st.,1641,bouterin,212/758-0323,nan,0
78,nan,nan,2 e. 55th st.,1123,nan,nan,15 fulton st.,0
333,lespinasse,212/339-6719,nan,2075,nan,nan,709 n. la brea ave.,0
336,locanda veneta,310/274-1893,nan,815,southwestern,nan,nan,0
326,nan,nan,1001 n. alameda st.,781,bistro garden,310/550-3900,nan,0
3,nan,nan,570 4th st.,1866,nan,nan,6359 jimmy carter blvd.  at buford hwy.  norcross,0
42,las vegas,nan,nan,1910,nan,nan,2000 hyde st.,0
202,nan,nan,9001 santa monica blvd.,55,nan,nan,265 pharr rd.,0
212,l'orangerie,310/652-9770,nan,1419,nan,nan,1772 market st.,0
178,brooklyn,nan,nan,1076,nan,nan,1423 2nd ave.  between 74th and 75th sts.,0
200,hawthorne lane,415/777-9779,nan,699,westside cottage,212-245-0800,nan,0
81,jo jo,212/223-5656,nan,1927,new york kom tang soot bul house,212/ 947-8482,nan,0
126,nan,nan,201 e. 49th st.,2055,feast,702/367-2411,nan,0
6,rainbow room,212/632-5000,nan,1075,r-23,213-687-7178,nan,0
120,nan,nan,1114 horn ave.,696,tapika,212/ 397-3737,nan,0
195,nan,nan,243 e. 58th st.,494,harbor village,415/781-8833,nan,0
99,nan,nan,402 w. 44th st.,1370,rex il ristorante,213-627-2300,nan,0
84,nan,nan,2637 peachtree rd.  peachtree house condominium,1232,tribeca grill,212/941-3900,nan,0
44,studio city,nan,nan,466,san domenico,212-265-5959,nan,0
297,postrio,415/776-7825,nan,2123,nan,nan,4041 audrie st. at flamingo rd.,0
66,nan,nan,22 hawthorne st.,1966,luna si,404/355-5993,nan,0
313,nan,nan,21 e. 16th st.,462,fat matt's rib shack,404/607-1622,nan,0
134,chez michel,415/775-7036,nan,1613,nan,nan,2635 w. olive ave.,0
226,nan,nan,532 columbus ave.,180,nan,nan,3345 steiner st.,0
192,nan,nan,in central park at 67th st.,858,nan,nan,1021 cobb pkwy. se,0
98,valentino,310/829-4313,nan,2062,grill  the,310-276-0615,nan,0
283,pisces,212/260-6660,nan,1246,greek,nan,nan,0
158,campanile,213/938-1447,nan,1310,four seasons,212-754-9494,nan,0
216,chinois on main,310/392-9025,nan,1431,my thai,404-636-4280,nan,0
43,toulouse,404/351-9533,nan,427,nan,nan,2709 main st.,0
4,nan,nan,43 w. 65th st.,1182,alon's at the terrace,404-724-0444,nan,0
267,nan,nan,5955 melrose ave.,2084,nan,nan,1305 highland ave.,0
258,dining room  ritz-carlton  buckhead,404/237-2700,nan,632,nan,nan,340 stockton st.,0
312,nan,nan,648 bush st.,107,majestic,404-875-0276,nan,0
80,fleur de lys,415/673-7779,nan,623,nan,nan,2637 peachtree rd. ne,0
302,nan,nan,2709 main st.,1518,nan,nan,220 sandy springs circle,0
162,nan,nan,545 post st.,1472,nan,nan,6th st.,0
184,nan,nan,3115 pico blvd.,375,nan,nan,34 e. 51st st.,0
151,nan,nan,23725 w. malibu rd.,2171,nan,nan,386 3rd ave.  between 27th and 28th sts.,0
132,cafe des artistes,212/877-3500,nan,2184,chan dara,213/467-1052,nan,0
215,heera of india,404/876-4408,nan,754,nan,nan,28 e. 63rd st.,0
258,dining room  ritz-carlton  buckhead,404/237-2700,nan,1533,mani's bakery & espresso bar,213-938-8800,nan,0
44,studio city,nan,nan,1896,nan,nan,161 steuart st.,0
205,second street grille,702/385-3232,nan,1611,nan,nan,1065 1st ave.  at 58th st.,0
4,nan,nan,43 w. 65th st.,1912,nan,nan,3391 peachtree rd. ne,0
29,montrachet,212/ 219-2777,nan,1306,nan,nan,375 greenwich st.  near franklin st.,0
84,nan,nan,2637 peachtree rd.  peachtree house condominium,1147,delectables,404-681-2909,nan,0
220,nan,nan,3000 w. paradise rd.,1835,palm  the (atlanta),404-814-1955,nan,0
164,yujean kang's gourmet chinese cuisine,818/585-0855,nan,443,daniel,212-288-0033,nan,0
65,granita,310/456-0488,nan,1075,r-23,213-687-7178,nan,0
243,nan,nan,67 n. raymond ave.,199,coffee bar,nan,nan,0
107,felidia,212/758-1479,nan,1357,hayes street grill,415/863-5545,nan,0
242,mesa grill,212/807-7400,nan,1321,mesa grill,212-807-7400,nan,1
311,nan,nan,252 california st.,1646,ca'brea,213/938-2863,nan,0
168,sherman oaks,nan,nan,165,sylvia's,212-996-0660,nan,0
212,l'orangerie,310/652-9770,nan,1325,nan,nan,4199 paces ferry rd.,0
148,nan,nan,224 ponce de leon ave.,1855,eastern european,nan,nan,0
119,manhattan ocean club,212/ 371-7777,nan,456,diners,nan,nan,0
260,shun lee west,212/371-8844,nan,1782,montien,212/421-4433,nan,0
301,buckhead diner,404/262-3336,nan,809,cafe fes,212/924-7653,nan,0
93,nan,nan,7 claude la.,1089,stick to your ribs,718-937-3030,nan,0
96,nan,nan,3201 fillmore st.,1774,nan,nan,210 e. 58th st.,0
32,rex il ristorante,213/627-2300,nan,176,lowcountry barbecue,404/255-5160,nan,0
291,virgil's,212/ 921-9494,nan,331,cafe bizou,818-788-3536,nan,0
210,nan,nan,240 central park s,1433,north india,415/931-1556,nan,0
107,felidia,212/758-1479,nan,216,pho hoa,213-626-5530,nan,0
192,nan,nan,in central park at 67th st.,1929,nan,nan,1879 cheshire bridge rd.,0
283,pisces,212/260-6660,nan,1858,pisces,212-260-6660,nan,1
80,fleur de lys,415/673-7779,nan,634,nan,nan,948 1st ave.  between 52nd and 53rd sts.,0
261,nan,nan,3130 piedmont road,2187,nan,nan,889 w. peachtree st.,0
283,pisces,212/260-6660,nan,613,nan,nan,2880 las vegas blvd. s.,0
3,nan,nan,570 4th st.,880,chevys,415/543-8060,nan,0
163,nan,nan,3799 las vegas blvd. s,1790,holt bros. bar-b-q,770/242-3984,nan,0
165,nan,nan,160 e. 64th st.,788,nan,nan,33 w. 55th st.,0
23,ciboulette,404/874-7600,nan,1746,nan,nan,500 post st.,0
181,nan,nan,100 e. 63rd st.,128,nan,nan,10428 1/2 national blvd.,0
46,smith & wollensky,212/753-1530,nan,908,nan,nan,200 e. 54th st.,0
294,gramercy tavern,212/477-0777,nan,598,nan,nan,10506 little santa monica blvd.,0
169,nan,nan,600 stockton st.,2110,nan,nan,2450 broadway,0
101,veni vidi vici,404/875-8424,nan,1646,ca'brea,213/938-2863,nan,0
134,chez michel,415/775-7036,nan,630,chez michel,415-775-7036,nan,1
183,march,212/754-6272,nan,1975,nan,nan,303 peachtree st. ne,0
56,abruzzi,404/261-8186,nan,603,nan,nan,145 w. broadway at thomas st.,0
49,dawat,212/355-7555,nan,1172,tex-mex,nan,nan,0
257,carnegie deli,212/757-2245,nan,1509,nan,nan,1248 clairmont rd.,0
98,valentino,310/829-4313,nan,45,middle eastern,nan,nan,0
157,hedgerose heights inn,404/233-7673,nan,449,nan,nan,500 e. 30th st.,0
104,tavern on the green,212/873-3200,nan,1308,vince & eddie's,212/721-0068,nan,0
158,campanile,213/938-1447,nan,2130,campanile,213-938-1447,nan,1
261,nan,nan,3130 piedmont road,23,nan,nan,732 broadway,0
23,ciboulette,404/874-7600,nan,1845,nan,nan,52 236 w. 52nd st.,0
200,hawthorne lane,415/777-9779,nan,391,nan,nan,2165 cheshire bridge rd.,0
173,four seasons grill room,212/754-9494,nan,568,duane park cafe,212/732-5555,nan,0
299,nan,nan,595 piedmont ave.  rio shopping mall,1984,cha cha cha's,415-386-5758,nan,0
123,nan,nan,b peachtree rd.,73,virgil's real bbq,212-921-9494,nan,0
221,21 club,212/582-7200,nan,304,nan,nan,107th fl.,0
49,dawat,212/355-7555,nan,517,nan,nan,3266 w. sixth st.,0
150,la cote basque,212/688-6525,nan,799,java jive,404-876-6161,nan,0
312,nan,nan,648 bush st.,769,trois jean,212/988-4858,nan,0
207,santa monica,nan,nan,1013,brasserie le coze,404-266-1440,nan,0
1,la grotta,404/231-1368,nan,769,trois jean,212/988-4858,nan,0
78,nan,nan,2 e. 55th st.,1707,nan,nan,176 n. canon dr.,0
65,granita,310/456-0488,nan,2079,nan,nan,439 e. 75th st.,0
81,jo jo,212/223-5656,nan,1338,nan,nan,3675 satellite blvd.,0
247,arnie morton's of chicago,310/246-1501,nan,445,cassell's,213-480-8668,nan,0
71,cafe lalo,212/496-6031,nan,843,french bistro,nan,nan,0
161,petrossian,212/245-2214,nan,527,petrossian,212-245-2214,nan,1
313,nan,nan,21 e. 16th st.,1779,california pizza kitchen,310/275-1101,nan,0
155,nan,nan,201 w. 83rd st.,32,nan,nan,181 w. 10th st.,0
173,four seasons grill room,212/754-9494,nan,1310,four seasons,212-754-9494,nan,1
281,nan,nan,777 sutter st.,1156,tang pavillion,212/956-6888,nan,0
98,valentino,310/829-4313,nan,2045,nan,nan,635 9th ave.  between 44th and 45th sts.,0
112,nan,nan,1 margaret mitchell sq.,1104,nan,nan,1521 hyde st.,0
288,nan,nan,200 e. fremont st.,1407,lombardi's,212-941-7994,nan,0
46,smith & wollensky,212/753-1530,nan,317,hot dogs,nan,nan,0
337,nan,nan,854 7th ave.  between 54th and 55th sts.,1984,cha cha cha's,415-386-5758,nan,0
24,nan,nan,6703 melrose ave.,2096,nan,nan,400 w. 119th st.  between amsterdam and morningside aves.,0
37,oceana,212/759-5941,nan,2219,dix et sept,212/645-8023,nan,0
303,nan,nan,35 w. 64th st.,677,parkway grill,818-795-1001,nan,0
331,nan,nan,3434 peachtree rd.,2151,stars,415/861-7827,nan,0
14,chin's,702/733-8899,nan,1872,chin's,702-733-8899,nan,1
119,manhattan ocean club,212/ 371-7777,nan,1511,nan,nan,3131 webster st.,0
8,aureole,212/ 319-1660,nan,2202,nan,nan,631 larkin st.,0
128,nan,nan,5937 geary blvd.,1319,canter's,213/651-2030.,nan,0
292,nan,nan,155 w. 51st st.,867,john's pizzeria,212-721-7001,nan,0
119,manhattan ocean club,212/ 371-7777,nan,67,ej's luncheonette,212-473-5555,nan,0
226,nan,nan,532 columbus ave.,874,cafe botanica,212/484-5120,nan,0
86,nan,nan,30 rockefeller plaza,927,pacifica,212/941-4168,nan,0
257,carnegie deli,212/757-2245,nan,1858,pisces,212-260-6660,nan,0
224,aqua,415/956-9662,nan,65,nan,nan,182 w. 58th st.,0
157,hedgerose heights inn,404/233-7673,nan,1243,beaurivage,310/456-5733,nan,0
227,nan,nan,3570 las vegas blvd. s,2187,nan,nan,889 w. peachtree st.,0
303,nan,nan,35 w. 64th st.,1055,dottie's true blue cafe,415-885-2767,nan,0
183,march,212/754-6272,nan,2130,campanile,213-938-1447,nan,0
316,restaurant  ritz-carlton  atlanta,404/659-0400,nan,775,nan,nan,1393a 2nd ave.  between 72nd and 73rd sts.,0
85,nan,nan,8358 sunset blvd. west,2215,nan,nan,30 west 22nd st.  between 5th and 6th ave.,0
8,aureole,212/ 319-1660,nan,2233,dawat,212-355-7555,nan,0
252,nan,nan,747 9th ave.  between 50th and 51st sts.,747,nan,nan,1870 fillmore st.,0
254,seryna,212/980-9393,nan,1795,seryna,212-980-9393,nan,1
97,nan,nan,3200 las vegas blvd. s,71,jackson's farm,310/273-5578,nan,0
337,nan,nan,854 7th ave.  between 54th and 55th sts.,1854,nan,nan,260 e. paces ferry road,0
89,nan,nan,34 e. 61st st.,966,ernie's,212/496-1588,nan,0
10,cafe claude,415/392-3505,nan,1561,cafe claude,415-392-3505,nan,1
59,lutece,212/752-2225,nan,387,cafe renaissance,770/441--0291,nan,0
279,indigo coastal grill,404/876-0676,nan,1768,victor's cafe,212/586-7714,nan,0
6,rainbow room,212/632-5000,nan,266,hamburger mary's,415-626-1985,nan,0
274,nan,nan,156 2nd ave. at 10th st.,1399,nan,nan,8720 sunset blvd.,0
150,la cote basque,212/688-6525,nan,200,i trulli,212/481-7372,nan,0
184,nan,nan,3115 pico blvd.,1230,nan,nan,65 w. 55th st.,0
38,nan,nan,152 w. 44th st.,1964,hong kong flower lounge,415/668-8998,nan,0
252,nan,nan,747 9th ave.  between 50th and 51st sts.,244,nan,nan,3300 las vegas blvd. s.,0
101,veni vidi vici,404/875-8424,nan,1552,seventh regiment mess and bar,212/744-4107,nan,0
97,nan,nan,3200 las vegas blvd. s,1509,nan,nan,1248 clairmont rd.,0
257,carnegie deli,212/757-2245,nan,1511,nan,nan,3131 webster st.,0
144,nan,nan,129 n. la cienega blvd.,1309,nan,nan,532 columbus ave.,0
4,nan,nan,43 w. 65th st.,154,nan,nan,3 e. 52nd st.,0
10,cafe claude,415/392-3505,nan,683,nan,nan,2901 pico blvd.,0
284,aquavit,212/307-7311,nan,1150,sant ambroeus,212/570-2211,nan,0
91,georgia grille,404/352-3517,nan,698,nan,nan,41 14th st.,0
334,nan,nan,11 e. 53rd st.,239,arturo's,212/677-3820,nan,0
275,le chardonnay,213/655-8880,nan,1052,nan,nan,19565 parthenia ave.,0
34,hotel bel-air,310/472-1211,nan,1150,sant ambroeus,212/570-2211,nan,0
101,veni vidi vici,404/875-8424,nan,257,nan,nan,1144 crescent ave.,0
159,nan,nan,340 stockton st.,1291,nan,nan,23725 w. malibu rd.,0
303,nan,nan,35 w. 64th st.,756,straits cafe,415/668-1783,nan,0
44,studio city,nan,nan,1054,nan,nan,3172 peachtree rd. ne,0
316,restaurant  ritz-carlton  atlanta,404/659-0400,nan,2086,ritz-carlton restaurant,404-659-0400,nan,1
210,nan,nan,240 central park s,669,nan,nan,4663 long beach blvd.,0
248,nan,nan,126 clement st.,1705,barney greengrass,310/777-5877,nan,0
157,hedgerose heights inn,404/233-7673,nan,0,second avenue deli,212-677-0606,nan,0
41,nan,nan,42 e. 20th st.  between park ave. s and broadway,1519,doidge's,415-921-2149,nan,0
196,carmine's,212/362-2200,nan,2120,nan,nan,56 e. andrews dr. nw,0
306,mi cocina,212/627-8273,nan,854,mi cocina,212-627-8273,nan,1
81,jo jo,212/223-5656,nan,1924,killer shrimp,818-508-1570,nan,0
247,arnie morton's of chicago,310/246-1501,nan,1725,arnie morton's of chicago,310-246-1501,nan,1
292,nan,nan,155 w. 51st st.,635,little szechuan,770/451-0192,nan,0
306,mi cocina,212/627-8273,nan,315,nan,nan,346 s. la brea ave.,0
9,atlanta,nan,nan,1853,nan,nan,60 w. 55th st.,0
233,nan,nan,1972 n. hillhurst ave.,1035,mckinnon's louisiane,404/237-1313,nan,0
303,nan,nan,35 w. 64th st.,1513,nan,nan,21 west 17th st.  between 5th and 6th aves.,0
148,nan,nan,224 ponce de leon ave.,604,patria,212/777-6211,nan,0
61,matsuhisa,310/659-9639,nan,827,vivande ristorante,415/673-9245,nan,0
200,hawthorne lane,415/777-9779,nan,744,le chantilly,212/751-2931,nan,0
310,art's delicatessen,818/762-1221,nan,276,le colonial,212/ 752-0808,nan,0
179,bone's,404/237-2663,nan,1474,bone's restaurant,404-237-2663,nan,1
215,heera of india,404/876-4408,nan,911,nan,nan,700 w. fifth st.,0
104,tavern on the green,212/873-3200,nan,2080,sammy's roumanian steak house,212/673-0330,nan,0
