tableA_id,tableA_https://www.scads.de/movieBenchmark/ontology/title,tableA_https://www.scads.de/movieBenchmark/ontology/name,tableA_http://dbpedia.org/ontology/episodeNumber,tableA_http://dbpedia.org/ontology/seasonNumber,tableA_http://dbpedia.org/ontology/deathYear,tableA_http://dbpedia.org/ontology/birthYear,tableA_https://www.scads.de/movieBenchmark/ontology/endYear,tableA_https://www.scads.de/movieBenchmark/ontology/startYear,tableA_https://www.scads.de/movieBenchmark/ontology/genre_list,tableA_https://www.scads.de/movieBenchmark/ontology/primaryProfessions,tableA_https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,tableB_id,tableB_https://www.scads.de/movieBenchmark/ontology/title,tableB_https://www.scads.de/movieBenchmark/ontology/name,tableB_http://dbpedia.org/ontology/abstract,tableB_http://dbpedia.org/ontology/episodeNumber,tableB_http://dbpedia.org/ontology/seasonNumber,tableB_http://dbpedia.org/ontology/numberOfSeasons,tableB_http://dbpedia.org/ontology/numberOfEpisodes,tableB_http://dbpedia.org/ontology/birthDate,tableB_http://dbpedia.org/ontology/releaseDate,tableB_https://www.scads.de/movieBenchmark/ontology/last_air_date,tableB_https://www.scads.de/movieBenchmark/ontology/release_year,tableB_http://dbpedia.org/ontology/runtime,tableB_https://www.scads.de/movieBenchmark/ontology/genre_list,tableB_https://www.scads.de/movieBenchmark/ontology/origin_country,label
2184,nan,Jody Lawrance,nan,nan,1986-01-01,1930-01-01,nan,nan,nan,"actress,soundtrack",nan,2618,Episode 35,nan,nan,35.0,1.0,nan,nan,nan,2003-03-07,nan,2003-01-01,nan,nan,nan,0
4518,nan,Jock Mahoney,nan,nan,1989-01-01,1919-01-01,nan,nan,nan,"actor,stunts,soundtrack",nan,4844,nan,Roland Stevenson,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1963,nan,Isabelle Morand,nan,nan,nan,nan,nan,nan,nan,"miscellaneous,producer",nan,5001,nan,Leah King,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3775,Hoof Cleaner,nan,19.0,2.0,nan,nan,nan,2006-01-01,Reality-TV,nan,43.0,5554,Voice,nan,"Two detectives teamed up to catch a serial killer who murdered their family. Moo Jin Hyuk's life spiraled out of control after his wife was murdered. He starts to put himself together after he meets Kang Kwon Joo, US-graduated voice-profiler, who lost her police father to the same serial killer. They work together on the 112 (emergency telephone number) call center team.",nan,nan,3.0,44.0,nan,2017-01-14,2019-06-30,2017-01-01,60,Crime,KR,0
2871,nan,Mark Dana,nan,nan,2015-01-01,1920-01-01,nan,nan,nan,actor,nan,2608,Pilot,nan,"'Harland Bristol is the reigning saddle bronc champ. Getting ready to ride Megaton, Harland is critically injured when the rank bronc rears up and slams him into the chute wall.Unfortunately, Stoney Burke was helping out - holding Megaton's head. Harland's brother Cody and his best friend E.J. Stoker blame Stoney for Harland's death.The episode introduces us to the principal characters, establishes themes sewn throughout the series, and gives hints to the eventual outcome.Thematic examples include forgiveness; Cody and E.J. go from wanting Stoney hurt for Harland's death to being his best friends and constant companions.We learn what a sleaze the character of Ves Painter is, and the attendant friction - approach/avoidance - represented by Ves and Stoney's difficult relationship.Stoney falls for Hamilton's girl (much younger than he) and seems willing to give it all up for her. She, however is smarter - or more mature than Stoney and realizes that if he does not go for the buckle -",1.0,1.0,nan,nan,nan,1962-10-01,nan,1962-01-01,nan,nan,nan,0
159,nan,Ivica Matic,nan,nan,1976-01-01,1948-01-01,nan,nan,nan,"writer,cinematographer,director",nan,2679,Betrayal,nan,"Frank and Tim investigate the death of a young girl whose abused body was found by the side of the interstate. Brodie goes to an interview with a new potential roommate. Kellerman finally gets his day in court, where he is supposed to take the 5th amendment. Frank and Tim disagree with their pursuit of the investigation. Frank tries a different approach with the mother and she tells him the story-- only they won't be able to get a murder one conviction. Julianna comes down to the courthouse to offer Mike some moral support. He sees Connelly come out of the courtroom and thinks things are going bad, so he prepares to give it all up. However, his appearance before the grand jury doesn't go quite as he expected. Brodie walks out of the building with his new roommate. The detectives try to celebrate Kellerman's freedom, though he has different thoughts about the situation. Tim tries to come to grips with the child abuse he experienced in his past and also tells Frank he doesn't want to be",12.0,5.0,nan,nan,nan,1997-01-10,nan,1997-01-01,nan,nan,nan,0
4726,nan,Gertrude Bailey,nan,nan,nan,nan,nan,nan,nan,nan,nan,4914,Episode 23,nan,nan,23.0,2.0,nan,nan,nan,2017-08-14,nan,2017-01-01,nan,nan,nan,0
6,nan,Wallace Bosco,nan,nan,1973-01-01,1880-01-01,nan,nan,nan,"actor,writer,producer",nan,3498,nan,France 3 (FR 3),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FR,0
765,Ya vstretil devushku,nan,nan,nan,nan,nan,nan,1957-01-01,nan,nan,91.0,5835,nan,Yoo Yeon-seok,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4288,Cheese Maker,nan,9.0,1.0,nan,nan,nan,2005-01-01,Reality-TV,nan,44.0,4101,Cheese Maker,nan,"Mike visits the San Francisco Zoo and learns what it's like to be a zookeeper, essentially feeding the animals and collecting their poo.Mike then goes to Vermont to a haunted cheese making factory and learns not only how to make cheese, but the art of patience.Finally, Mike learns how to be a volcano ash mud bath mixer (spa technician) in Calistoga, CA and takes a mud bath after a very dirty day. That's not all - Mike also journeys to a live volcano in Hawaii and gets up close and personal with some very hot lava.",9.0,1.0,nan,nan,nan,2005-10-11,nan,2005-01-01,nan,nan,nan,1
3653,Drawn & Quartered,nan,8.0,3.0,nan,nan,nan,1999-01-01,"Animation,Comedy,Fantasy",nan,21.0,1312,nan,Max G?lstorff,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
141,nan,Willis Bouchey,nan,nan,1977-01-01,1907-01-01,nan,nan,nan,actor,nan,2107,The Wise One,nan,nan,28.0,3.0,nan,nan,nan,1956-03-25,nan,1956-01-01,nan,nan,nan,0
393,Survival,nan,15.0,1.0,nan,nan,nan,1958-01-01,Adventure,nan,30.0,2705,nan,Oshri Cohen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4633,nan,Perry Finnerman,nan,nan,1960-01-01,1903-01-01,nan,nan,nan,"cinematographer,camera_department",nan,3616,nan,Charles Napier,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1925,nan,Tuomas Milonoff,nan,nan,nan,1974-01-01,nan,nan,nan,"producer,director,writer",nan,4993,nan,Vijayashanti,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4040,nan,Daniel Costelle,nan,nan,nan,1936-01-01,nan,nan,nan,"writer,director,miscellaneous",nan,664,nan,Daniel Costelle,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
120,nan,Dipankar Dey,nan,nan,nan,1944-01-01,nan,nan,nan,"actor,miscellaneous",nan,556,nan,Craig Ferguson,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
661,nan,Marcello Cannavale,nan,nan,nan,nan,nan,nan,nan,actor,nan,2468,nan,Soven Lahiri,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2963,Die Like a Dog,nan,4.0,2.0,nan,nan,nan,2002-01-01,"Action,Drama,Mystery",nan,nan,1609,Die Like a Dog,nan,"Archie stumbles onto a murder scene while trying to retrieve his raincoat.  Not wanting to get involved, he leaves the scene only to discover a black Labrador retriever following him.  Wolfe, surprisingly, is taken by the animal and christens him Jet.  When Cramer shows up in search of the pet, wolfe gets Archie involved in the investigation in order to keep the dog.",4.0,2.0,nan,nan,nan,2002-04-28,nan,2002-01-01,nan,nan,nan,1
1039,nan,Nicholas Saul,nan,nan,nan,nan,nan,nan,nan,nan,nan,5913,nan,Bang Joong-Hyun,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
921,nan,Michael Shaara,nan,nan,1988-01-01,1929-01-01,nan,nan,nan,writer,nan,5317,nan,Gancho Ganchev,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2793,nan,Judith Barker,nan,nan,nan,1943-01-01,nan,nan,nan,actress,nan,3828,nan,Hajime Ootani,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2134,nan,Howard Morris,nan,nan,2005-01-01,1919-01-01,nan,nan,nan,"actor,miscellaneous,director",nan,2117,nan,Ladislav Hausdorf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
5109,Autofocus,nan,3.0,4.0,nan,nan,nan,1995-01-01,"Crime,Drama,Mystery",nan,nan,3848,Episode 2,nan,nan,2.0,1.0,nan,nan,nan,2010-04-09,nan,2010-01-01,nan,nan,nan,0
4178,Act of Piracy,nan,18.0,2.0,nan,nan,nan,1961-01-01,Adventure,nan,60.0,333,nan,Richard Guille,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2731,"Red, Red Wine",nan,5.0,7.0,nan,nan,nan,1998-01-01,"Crime,Drama,Mystery",nan,60.0,5537,Quiet Desperation,nan,nan,17.0,8.0,nan,nan,nan,1961-02-05,nan,1961-01-01,nan,nan,nan,0
2617,nan,Hiroshi Hashimoto,nan,nan,nan,nan,nan,nan,nan,"writer,actor,producer",nan,4765,nan,Roy Garcia,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2430,The Brothers Gruff,nan,9.0,2.0,nan,nan,nan,1994-01-01,"Animation,Comedy,Fantasy",nan,21.0,5690,The Brothers Gruff,nan,"Eddie's fears come true when he crosses a bridge and is followed home by a mischeivious bridge troll.  Luckily Eddie's best friend Sheldon, a member of a weird society called 'Jr. Monster-Buster,' knows what to do.  However, the situation turns from bad to worse when Eddie's disbelieving, older brother is kidnapped by the troll.",9.0,2.0,nan,nan,nan,1994-11-05,nan,1994-01-01,nan,nan,nan,1
3582,nan,Hilary Mason,nan,nan,2006-01-01,1917-01-01,nan,nan,nan,"actress,soundtrack",nan,4129,nan,Raymond Danon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3336,nan,Elana Eden,nan,nan,nan,1940-01-01,nan,nan,nan,actress,nan,5654,About Drugs and Hemp with Mikko Salasuo,nan,nan,3.0,1.0,nan,nan,nan,2013-09-11,nan,2013-01-01,nan,nan,nan,0
4479,nan,Holly Wortell,nan,nan,nan,nan,nan,nan,nan,"writer,actress,miscellaneous",nan,2022,Nginiig,nan,"'Nginiig was a weekly horror television program in the Philippines aired by ABS-CBN. It started in 2004 and wass hosted first by Raymond Bagatsing, then by Jericho Rosales and finally, Hero Angeles. The show sometimes airs on the Kapamilya ChannelThe show features real horror and paranormal stories through re-enactments based on the victims' account of the horrifying events. The victims are interviewed about the events that took place in the haunted venues and actors and actresses play them in the reconstructions.The series ended in 2006 after the director, Luis Luigi Santiago, died in 2005. Santiago, who has just completed a feature film version of the show, was passing by a bar in Makati City when a drunk male patron suddenly brandished a firearm and shot several people, including the director.Nginiig is in Southeast Asia and dictated by Aldoxia Inggtoy.",nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,PH,0
3234,nan,Maye Frank Grissette,nan,nan,nan,nan,nan,nan,nan,writer,nan,5734,nan,Shun Oguri,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3897,nan,Mark Shekter,nan,nan,nan,nan,nan,nan,nan,"producer,writer,composer",nan,2833,Episode 15,nan,nan,15.0,1.0,nan,nan,nan,2019-05-25,nan,2019-01-01,nan,nan,nan,0
503,nan,Eddy Waller,nan,nan,1977-01-01,1889-01-01,nan,nan,nan,actor,nan,5852,Robert Blake,nan,"LAPD Homicide Detective Ron Ito works relentlessly to uncover the secrets behind the 2001 murder of actor Robert Blake's wife, Bonnie Lee Bakley.",1.0,1.0,nan,nan,nan,2016-09-10,nan,2016-01-01,nan,nan,nan,0
3302,nan,Rico Alaniz,nan,nan,2015-01-01,1919-01-01,nan,nan,nan,actor,nan,5328,S-H–SHIPPING,nan,JJ’s pressured to date a new student at school who also has cerebral palsy. Maya and Jimmy teach Ray and his girlfriend to think less. Dylan teams with Lafayette alumni to rebel against the school’s “no-prank” initiative.,6.0,2.0,nan,nan,nan,2017-11-01,nan,2017-01-01,nan,nan,nan,0
1986,Episode #1.2,nan,2.0,1.0,nan,nan,nan,1971-01-01,Drama,nan,nan,320,nan,Frank Lanning,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3337,nan,Joe Cronin,nan,nan,nan,nan,nan,nan,nan,actor,nan,5012,Episode 4,nan,nan,4.0,3.0,nan,nan,nan,2019-05-19,nan,2019-01-01,nan,nan,nan,0
5027,Episode #9/Episode #10,nan,5.0,1.0,nan,nan,nan,1995-01-01,"Action,Adventure,Animation",nan,13.0,3064,nan,Aaron Alon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4577,nan,Ed Bianchi,nan,nan,nan,1942-01-01,nan,nan,nan,"director,producer,miscellaneous",nan,1975,Nelson Algren Live,nan,"A performance of some of Nelson Algren's greatest and least known works, performed live at the Steppenwolf theatre in Algren's hometown, Chicago.",nan,nan,nan,nan,nan,2016-06-04,nan,2016-01-01,77,Drama,nan,0
4555,nan,Jimmy McGovern,nan,nan,nan,1949-01-01,nan,nan,nan,"writer,producer,miscellaneous",nan,3823,Latin Lover,nan,"'Latin Lover is a joint telenovela production between Venevisi?n, Iguana Producciones, and Playboy Entertainment Group. It centers around the production of a fictional telenovela, and follows the lives of the actors and production staff involved in the show, as well as other tangential characters. The show features a large main cast of at least 23 credited performers.Each episode features a number of softcore pornographic and simulated sexy scenes, commonly including full frontal and rear nudity, though rarely showing either male or female genitalia.As of July 6, 2008, Latin Lover is broadcast in Canada by Telelatino, dubbed into English. A new series called Latin Lover 2: Beauty & Ambition premiered on Telelatino Network in Spring 2009.",nan,nan,0.0,0.0,nan,nan,nan,nan,60,nan,PE,0
4461,nan,Silvia Alonso,nan,nan,nan,1992-01-01,nan,nan,nan,actress,nan,3921,The Backpacker Murders: Ivan Milat,nan,"The backpacker murder case in the Belanglo State Forest, south west of Sydney, has entered Australian criminal folklore. The brutal murders of seven young people, most of them overseas tourists hitchhiking around Australia, attracted international media attention. The remains of their bodies were uncovered in 1992. The arrest and conviction of Ivan Milat would catapult him to Australia's worst individual serial killer. It is believed that Milat was involved in several other killings and there is strong evidence that he didn't act alone.",4.0,1.0,nan,nan,nan,2005-08-01,nan,2005-01-01,nan,nan,nan,0
1313,nan,Herta Fahrenkrog,nan,nan,nan,1942-01-01,nan,nan,nan,actress,nan,1768,nan,Henry Hauck,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1655,Hill of Ghosts,nan,30.0,2.0,nan,nan,nan,1961-01-01,Adventure,nan,60.0,5767,nan,Claudia Calvi?o,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3376,nan,Shannon Barrett Prynoski,nan,nan,nan,nan,nan,nan,nan,"producer,production_manager,animation_department",nan,4048,nan,Jeremy Clyde,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
537,Episode #4.5,nan,5.0,4.0,nan,nan,nan,2014-01-01,"Crime,Drama,Mystery",nan,44.0,3462,nan,Dejan Brni?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
341,Nightmare in the Sun,nan,35.0,2.0,nan,nan,nan,1961-01-01,Adventure,nan,60.0,4909,nan,Kathy Altieri,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2963,Die Like a Dog,nan,4.0,2.0,nan,nan,nan,2002-01-01,"Action,Drama,Mystery",nan,nan,1851,nan,G?rard Streiff,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2949,nan,Jamie Vergan,nan,nan,nan,nan,nan,nan,nan,"actor,miscellaneous",nan,3776,Upstairs Inferno,nan,"On June 24, 1973, a gay bar in New Orleans called the Up Stairs Lounge was deliberately set on fire, resulting in the largest gay mass murder in U.S. history.",nan,nan,nan,nan,nan,2015-11-01,nan,2015-01-01,96, Documentary,nan,0
3297,nan,Matthew Senreich,nan,nan,nan,1974-01-01,nan,nan,nan,"producer,writer,actor",nan,4782,Buried Alive- Luckman And Reid,nan,"'On the night of May 4, 1982, 13-year-old Terry Ryan rushed into his family home in Marsden, a suburb of Brisbane, and told his mother an astonishing story.Terry said that he had been forced by two men to participate in the sexual assault and prolonged torture and murder of his best friend, 13 year old Peter Aston. He said he had buried Aston in a shallow grave in scrubland about 60 kilometres south, over the New South Wales border, near the seaside hamlet of Kingscliff. Belita Ryan immediately rang the police. Terry retold his story to Detectives of the Queensland Criminal Investigation Branch.At approximately 4:45 on the morning of May 5th, the detectives drove Terry and his mother over the border into New South Wales. Terry led his mother and the detectives along the sandy track into the scrub. After about 200 meters, the track opened onto a roughly cleared area and the tire tracks disappeared into bush land on the other side of it.''There ... in there,'' Terry Ryan said as he pointed into the foliage. ''It's in there.''. The detectives led the way, and as they entered the track, they came across a grave-sized mound of earth off to the north-east. It was covered with small tree branches and twigs obviously broken from the nearby trees. Terry stepped back into his mother's arms and began to cry as the police officers approached the ominous mound and examined the freshly turned earth. In the dawn light, they saw spots of blood in the sand and a large, wet, blood-soaked section in the centre of the raised soil.Lying in the sand at the head of the bush grave was a dark sock and a knife in a sheaf. What the police officers found beneath the mound almost defied their comprehension.",9.0,3.0,nan,nan,nan,2009-10-29,nan,2009-01-01,nan,nan,nan,0
955,Imaginary Friend,nan,2.0,3.0,nan,nan,nan,1999-01-01,"Animation,Comedy,Fantasy",nan,21.0,4034,nan,Richard Bradshaw,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2756,nan,Zemfira Sadykhova,nan,nan,nan,nan,nan,nan,nan,actress,nan,4859,Hangman's Island,nan,nan,7.0,2.0,nan,nan,nan,1960-11-21,nan,1960-01-01,nan,nan,nan,0
4264,nan,Michael Montgomery,nan,nan,nan,nan,nan,nan,nan,actor,nan,3805,Episode 3,nan,nan,3.0,1.0,nan,nan,nan,1983-03-04,nan,1983-01-01,nan,nan,nan,0
595,Trick or Treat,nan,3.0,2.0,nan,nan,nan,2001-01-01,Comedy,nan,30.0,3661,nan,Winnie Cordero,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
5002,Episode #1.5,nan,5.0,1.0,nan,nan,nan,1971-01-01,Drama,nan,nan,5408,Silence for Stan,nan,"When Stan is sick and resting in bed, Monty tries to find a quiet game to play, but wonders if all the best games are noisy.",37.0,1.0,nan,nan,nan,2017-04-25,nan,2017-01-01,nan,nan,nan,0
333,nan,Jun Mizuki,nan,nan,nan,1973-01-01,nan,nan,nan,actress,nan,1338,nan,Hywel Bennett,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
1305,Every Mother's Son,nan,9.0,3.0,nan,nan,nan,1995-01-01,"Crime,Drama,Mystery",nan,nan,6015,nan,Heo Jung-Eun,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3090,nan,Rafael Jose Diaz,nan,nan,nan,1955-01-01,nan,nan,nan,actor,nan,3706,Mister Softee,nan,An ice cream truck triggers a painful childhood memory for Larry.,9.0,8.0,nan,nan,nan,2011-09-04,nan,2011-01-01,nan,nan,nan,0
4958,nan,Gerard O'Hare,nan,nan,nan,nan,nan,nan,nan,actor,nan,3025,nan,Gerard O'Hare,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
216,Week-End in Winnetka,nan,2.0,3.0,nan,nan,nan,1955-01-01,Drama,nan,30.0,1539,nan,Juan Carlos Thorry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
2758,nan,Fred Essler,nan,nan,1973-01-01,1895-01-01,nan,nan,nan,actor,nan,868,nan,ITV,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,GB,0
2809,nan,Martin Campbell,nan,nan,nan,1943-01-01,nan,nan,nan,"director,producer,actor",nan,2107,The Wise One,nan,nan,28.0,3.0,nan,nan,nan,1956-03-25,nan,1956-01-01,nan,nan,nan,0
2684,Girl in Hiding,nan,11.0,1.0,nan,nan,nan,1962-01-01,Adventure,nan,nan,3487,Episode 21,nan,nan,21.0,1.0,nan,nan,nan,2019-06-08,nan,2019-01-01,nan,nan,nan,0
2906,The Black Pearl,nan,2.0,1.0,nan,nan,nan,1959-01-01,Adventure,nan,50.0,5502,nan,Robert Blythe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4741,Piece of Cake,nan,nan,nan,nan,nan,1988-01-01,1988-01-01,"Drama,War",nan,312.0,5666,What Color is Your Cleansuit?,nan,"A three-month period in the lives of our heroes and villains is chronicled. Dr. Venture recruits college interns to help him complete a project for J.J. in time, but things go awry. Dean makes a life-changing decision after Triana rejects him, and Billy Quizboy acquires a new archenemy.",1.0,5.0,nan,nan,nan,2013-06-02,nan,2013-01-01,nan,nan,nan,0
